taxon,max,min
Brygmophyseter shigensis,15.97,13.82
Loxolithax sinuosa,15.97,13.82
Zarhachis velox,15.97,13.82
Oedolithax mira,15.97,13.82
Sinanodelphis izumidaensis,15.97,13.82
Delphinodon carniolicus,15.97,13.82
Vanbreenia trigonia,15.97,13.82
Tangaroasaurus kakanuiensis,15.97,13.82
Hadrodelphis calvertense,15.97,13.82
Liolithax pappus,15.97,13.82
Lamprolithax annectens,15.97,13.82
Lamprolithax simulans,15.97,13.82
Kentriodon obscurus,15.97,13.82
Kentriodon diusinus,15.97,13.82
Platylithax robusta,15.97,13.82
Squalodon atlanticus,15.97,13.82
Nannolithax gracilis,15.97,13.82
Eobalaenoptera harrisoni,13.82,11.63
Mesocetus brachyspondylus,15.97,13.82
Pelocetus calvertensis,15.97,13.82
Metopocetus durinasus,15.97,13.82
Aglaocetus patulus,15.97,13.82
Pinocetus polonicus,15.97,13.82
Tiphyocetus temblorensis,15.97,13.82
Diorocetus hiatus,15.97,13.82
Parietobalaena securis,15.97,13.82
Peripolocetus vexillifer,15.97,13.82
Saurocetes gigas,9,6.8
Delphinus delannoy,13.82,11.62
Scaldicetus inflatus,13.82,11.62
Hoplocetus ritzi,13.82,11.62
Acrophyseter robustus,13.82,11.62
Kogiopsis floridana,13.82,11.62
Schizodelphis bogatshowi,13.82,11.62
Palaeophocaena andrussowi,13.82,11.62
Belonodelphis peruanus,13.82,11.62
Heterodelphis leiodontus,13.82,11.62
Sophianacetus commenticius,13.82,11.62
Brujadelphis ankylorostris,13.82,11.62
Phocaenopsis scheynensis,13.82,11.62
Macrokentriodon morani,13.82,11.62
Tagicetus joneti,13.82,11.62
Kentriodon hoepfneri,13.82,11.62
Kampholophos serrulus,13.82,11.62
Atocetus iquensis,13.82,11.62
Imerodelphis thabagarii,13.82,11.62
Squalodon imperator,13.82,11.62
Praemegaptera pampauensis,13.82,11.62
Thinocetus arthritus,13.82,11.62
Halicetus ignotus,13.82,11.62
Lissodelphis fockii,13.82,11.608
Kurdalagonus maicopicum,13.82,11.608
Prepomatodelphis korneuburgensis,15.97,13.65
Delphinus delphis,0,0
Leucopleurus acutus,0,0
Mesoplodon layardii,0,0
Monodon monoceros,0,0
Scaldicetus bellunensis,23.03,20.44
Diaphorocetus poucheti,23.03,20.44
Squalodelphis fabianii,23.03,20.44
Allodelphis woodburnei,23.03,20.44
Protodelphinus capellinii,23.03,20.44
Incacetus broggii,23.03,20.44
Mycteriacetus bellunensis,23.03,20.44
Eoplatanista gresalensis,23.03,20.44
Eoplatanista italica,23.03,20.44
Eoplatanista miocaenus,23.03,20.44
Ziphiodelphis sigmoideus,23.03,20.44
Eosqualodon latirostris,23.03,20.44
Prosqualodon davidis,23.03,20.44
Squaloziphius emlongi,23.03,20.44
Squalodon catulli,23.03,20.44
Squalodon peregrinus,23.03,20.44
Papahu taitapu,21.7,19
Mesocetus hungaricus,13.82,11.1
Tursiops capellinii,5.333,2.588
Septidelphis morii,5.333,2.588
Astadelphis gastaldii,5.333,2.588
Hemisyntrachelus cortesii,5.333,2.588
Scaldicetus minor,5.333,2.588
Semirostrum ceruttii,5.333,2.588
Eschrichtioides gastaldii,5.333,2.588
Archaebalaenoptera castriarquati,5.333,2.588
Cetotherium capellinii,5.333,2.588
Balaenula astensis,5.333,2.588
Phocaenopsis mantelli,19,15.9
Eocetus drazindai,41.3,38
Platyosphys aithai,41.3,38
Chrysocetus fouadassii,41.3,38
Ocucajea picklingi,41.3,38
Basiloterus hussaini,41.3,38
Supayacetus muizoni,41.3,38
Pappocetus lugardi,41.3,38
Eocetus schweinfurthi,41.3,38
Aegyptocetus tarfa,41.3,38
Carolinacetus gingerichi,41.3,38
Natchitochia jonesi,41.3,38
Delphinavus newhalli,13.6,10.3
Otekaikea marplesi,25.2,21.7
Pomatodelphis bobengi,13.82,10.3
Etruridelphis giulii,5.333,1.806
