taxon,max,min
Xenorophus_sp_ChM_PV4823,30,27
Xhosacetus_hendeysi,16,5.3
Ziphiidae_indet_KNM_LP52956,23.3,16.1
Ziphirostrum_recurvus,15.97,5.33
Ziphirostrum_turninense,11.6,2.588
Ciuciulea_davidi,13.82,12.65
Metasqualodon_symmetricus,28.1,23.03
Cetotherium_megalophysum,11.62,7.246
Megaptera_miocaena,11.62,7.246
Megaptera_hubachi,5.33,3.6
Squalodelphinidae_indet_UWBM_87105,23.03,20.43
Physeteridae_indet_IRSNB_M_dot_1937,11.608,5.333
Otradnocetus_sp_VSEGEI_2401,11.608,7.246
Sotalia_guianensis,0,0
Aegicetus_gehennae,38,33.9
Balaenoptera_cuvieri,5.3,3
Sagmatias obliquidens,0,0
Archaebalaenoptera_liesselensis,8.1,7.5
Balaenopteridae_indet_EGAPA_dash_MPTAM_207_dot_13307,3.6,2.588
Balaenopteridae_indet_IPMM_40063,5.333,3.6
Balaenopteridae_indet_RBINS_M_dot_2231,5.333,3.6
Balaenopteridae_indet_RBINS_M_dot_2315,5.333,3.6
Balaenopteridae_indet_SAM_PQL_dash_55001,11.63,5.33
Balaenopteridae_indet_UT_PU13842_slash_5,5.333,3.6
Borealodon_osedax,30.6,28.3
Casatia_thermophila,5.08,4.52
Ediscetus_osbornei,28.75,28.43
Eubalaena_sp_MASCC_Unreferred,3.5,3.3
Haborodelphis_japonicus,5.33,3.6
Maiabalaena_nesbittae,33.7,30.6
Miobalaenoptera_numataensis,6.8,6.5
Monodontidae_indet_IRSNB_M_1922,5.333,3.6
Nehalaennia_devossi,8.7,8.1
Niparajacetus_palmadentis,28.1,23.03
Norrisanima_miocaena,7.6,7.3
Odontoceti_indet_CCNHM_1000,30.5,26.5
Orycterocetus_sp_MAUL_29_slash_1,18,6
Peregocetus_pacificus,47.8,41.3
Pliokogia_apenninica,5.08,5.04
Squalodon_sp_OU_21819,,
Squalodontidae_indet_OU_21798,27.82,23.03
Tupelocetus_palmeri,41.3,38
Yaquinacetus_meadi,24,19.2
Kentriodon_nakajimai,11.87,11.25
Herpetocetus_sp_NMNS_PV19540_et_USNM_362901,5.333,3.6
Tranatocetus_maregermanicum,8.1,7.5
Balaenopteridae_indet_aka_portisi_MRSN_PU13808_et_MGPT_13803_et_MCZ_17882_et_SDSNH_21507_et_65769_et_68698,3.6,2.588
Kwanzacetus_khoisani,11.62,5.33
Lissodelphis_nordmanni,12.7,11.608
Sulaimanitherium_dhanotri,41.3,38
Ankylorhiza_sp_CCNHM_1075,,
Ankylorhiza_tiedemani,29,26.57
Antwerpibalaena_liberatlas,3.21,2.76
Archaeobalaena_dosanko,5.2,3.5
Atlanticetus_lavei,19,16.2
Atlanticetus_patulus,15.97,13.82
Balaenopteridae_indet_aka_portisi_MRSN_PU13808_et_MGPT_13803_et_MCZ_17882_et_SDSNH_21507_et_65769_et_6869,3.6,2.588
Balaenopteridae_indet_Unreferred_Shimajiri_kujira,9,8
Dolgopolis_kinchikafiforo,20.44,15.97
Norisdelphis_annakaensis,11.29,11.25
Pachycetus_sp_GMTSNUK_15,41.2,37.8
Pachycetus_uheni,47.8,38
Pachycetus_wardii,41.3,38
Perditicetus_yaconensis,28.1,20.44
Physeteridae_indet_LACM_156632,14.9,13.1
Protororqualus_wilfriedneesi,5,4.4
Rhaphicetus_valenciae,18.6,18
Samaydelphis_chacaltanae,8.9,8.5
Scaphokogia_totajpe,7.46,5.93
