"Junior" "Senior" "Rule"
"Africanacetus_gracilis" "Africanacetus_ceratopsis" "Rule 2B"
"Aglaocetus_burtinii" "Aglaocetus_latifrons" "Rule 1B"
"Aglaocetus_burtinii" "Aglaocetus_rotundus" "Rule 1B"
"Aglaocetus_burtinii" "Aglaocetus_longifrons" "Rule 2B"
"Aglaocetus_burtinii" "Aglaocetus_moreni" "Rule 2B"
"Aglaocetus_burtinii" "Aglaocetus_patulus" "Rule 2B"
"Aglaocetus_latifrons" "Aglaocetus_rotundus" "Rule 1B"
"Aglaocetus_latifrons" "Aglaocetus_longifrons" "Rule 2B"
"Aglaocetus_latifrons" "Aglaocetus_moreni" "Rule 2B"
"Aglaocetus_latifrons" "Aglaocetus_patulus" "Rule 2B"
"Aglaocetus_rotundus" "Aglaocetus_longifrons" "Rule 2B"
"Aglaocetus_rotundus" "Aglaocetus_moreni" "Rule 2B"
"Aglaocetus_rotundus" "Aglaocetus_patulus" "Rule 2B"
"Albireo_savagei" "Albireo_whistleri" "Rule 2B"
"Aulophyseter_mediatlanticus" "Aulophyseter_morricei" "Rule 2B"
"Balaena_arcuata" "Balaena_dubusi" "Rule 1B"
"Balaena_arcuata" "Balaena_larteti" "Rule 1B"
"Balaena_arcuata" "Balaena_macrocephalus" "Rule 1B"
"Balaena_arcuata" "Balaena_pampaea" "Rule 1B"
"Balaena_arcuata" "Balaena_sp_SDSNH_43880" "Rule 2B"
"Balaena_arcuata" "Balaena_montalionis" "Rule 2B"
"Balaena_arcuata" "Balaena_ricei" "Rule 2B"
"Balaena_arcuata" "Balaena_mysticetus" "Rule 2B"
"Balaena_dubusi" "Balaena_larteti" "Rule 1B"
"Balaena_dubusi" "Balaena_macrocephalus" "Rule 1B"
"Balaena_dubusi" "Balaena_pampaea" "Rule 1B"
"Balaena_dubusi" "Balaena_sp_SDSNH_43880" "Rule 2B"
"Balaena_dubusi" "Balaena_montalionis" "Rule 2B"
"Balaena_dubusi" "Balaena_ricei" "Rule 2B"
"Balaena_dubusi" "Balaena_mysticetus" "Rule 2B"
"Balaena_larteti" "Balaena_macrocephalus" "Rule 1B"
"Balaena_larteti" "Balaena_pampaea" "Rule 1B"
"Balaena_larteti" "Balaena_sp_SDSNH_43880" "Rule 2B"
"Balaena_larteti" "Balaena_montalionis" "Rule 2B"
"Balaena_larteti" "Balaena_ricei" "Rule 2B"
"Balaena_larteti" "Balaena_mysticetus" "Rule 2B"
"Balaena_macrocephalus" "Balaena_pampaea" "Rule 1B"
"Balaena_macrocephalus" "Balaena_sp_SDSNH_43880" "Rule 2B"
"Balaena_macrocephalus" "Balaena_montalionis" "Rule 2B"
"Balaena_macrocephalus" "Balaena_ricei" "Rule 2B"
"Balaena_macrocephalus" "Balaena_mysticetus" "Rule 2B"
"Balaena_pampaea" "Balaena_sp_SDSNH_43880" "Rule 2B"
"Balaena_pampaea" "Balaena_montalionis" "Rule 2B"
"Balaena_pampaea" "Balaena_ricei" "Rule 2B"
"Balaena_pampaea" "Balaena_mysticetus" "Rule 2B"
"Balaenula_forsythmajori" "Balaenula_balaenopsis" "Rule 2B"
"Balaenula_forsythmajori" "Balaenula_sp_HUES_10003" "Rule 2B"
"Balaenula_forsythmajori" "Balaenula_sp_SMAC_1309" "Rule 2B"
"Balaenula_forsythmajori" "Balaenula_astensis" "Rule 2B"
"Cetotherium_capellinii" "Cetotherium_crassangulum" "Rule 1B"
"Cetotherium_capellinii" "Cetotherium_furlongi" "Rule 1B"
"Cetotherium_capellinii" "Cetotherium_parvum" "Rule 1B"
"Cetotherium_capellinii" "Cetotherium_polyporum" "Rule 1B"
"Cetotherium_capellinii" "Cetotherium_megalophysum" "Rule 2B"
"Cetotherium_capellinii" "Cetotherium_riabinini" "Rule 2B"
"Cetotherium_capellinii" "Cetotherium_rathkii" "Rule 2B"
"Cetotherium_crassangulum" "Cetotherium_furlongi" "Rule 1B"
"Cetotherium_crassangulum" "Cetotherium_parvum" "Rule 1B"
"Cetotherium_crassangulum" "Cetotherium_polyporum" "Rule 1B"
"Cetotherium_crassangulum" "Cetotherium_megalophysum" "Rule 2B"
"Cetotherium_crassangulum" "Cetotherium_riabinini" "Rule 2B"
"Cetotherium_crassangulum" "Cetotherium_rathkii" "Rule 2B"
"Cetotherium_furlongi" "Cetotherium_parvum" "Rule 1B"
"Cetotherium_furlongi" "Cetotherium_polyporum" "Rule 1B"
"Cetotherium_furlongi" "Cetotherium_megalophysum" "Rule 2B"
"Cetotherium_furlongi" "Cetotherium_riabinini" "Rule 2B"
"Cetotherium_furlongi" "Cetotherium_rathkii" "Rule 2B"
"Cetotherium_parvum" "Cetotherium_polyporum" "Rule 1B"
"Cetotherium_parvum" "Cetotherium_megalophysum" "Rule 2B"
"Cetotherium_parvum" "Cetotherium_riabinini" "Rule 2B"
"Cetotherium_parvum" "Cetotherium_rathkii" "Rule 2B"
"Cetotherium_polyporum" "Cetotherium_megalophysum" "Rule 2B"
"Cetotherium_polyporum" "Cetotherium_riabinini" "Rule 2B"
"Cetotherium_polyporum" "Cetotherium_rathkii" "Rule 2B"
"Choneziphius_chonops" "Choneziphius_liops" "Rule 1B"
"Choneziphius_chonops" "Choneziphius_trachops" "Rule 1B"
"Choneziphius_chonops" "Choneziphius_macrops" "Rule 2B"
"Choneziphius_chonops" "Choneziphius_leidyi" "Rule 2B"
"Choneziphius_chonops" "Choneziphius_planirostris" "Rule 2B"
"Choneziphius_liops" "Choneziphius_trachops" "Rule 1B"
"Choneziphius_liops" "Choneziphius_macrops" "Rule 2B"
"Choneziphius_liops" "Choneziphius_leidyi" "Rule 2B"
"Choneziphius_liops" "Choneziphius_planirostris" "Rule 2B"
"Choneziphius_trachops" "Choneziphius_macrops" "Rule 2B"
"Choneziphius_trachops" "Choneziphius_leidyi" "Rule 2B"
"Choneziphius_trachops" "Choneziphius_planirostris" "Rule 2B"
"Chrysocetus_fouadassii" "Chrysocetus_healyorum" "Rule 2B"
"Delphinodon_carniolicus" "Delphinodon_dividum" "Rule 2B"
"Delphinus_brevidens" "Delphinus_delannoy" "Rule 1B"
"Delphinus_brevidens" "Delphinus_dewaeli" "Rule 1B"
"Delphinus_brevidens" "Delphinus_domeykoi" "Rule 1B"
"Delphinus_brevidens" "Delphinus_rikuzenensis" "Rule 1B"
"Delphinus_brevidens" "Delphinus_taramelli" "Rule 1B"
"Delphinus_brevidens" "Delphinus_wasii" "Rule 1B"
"Delphinus_brevidens" "Eudelphinus_compressus" "Rule 1B"
"Delphinus_brevidens" "Delphinus_tropicalis" "Rule 2B"
"Delphinus_brevidens" "Delphinus_capensis" "Rule 2B"
"Delphinus_brevidens" "Delphinus_delphis" "Rule 2B"
"Delphinus_delannoy" "Delphinus_dewaeli" "Rule 1B"
"Delphinus_delannoy" "Delphinus_domeykoi" "Rule 1B"
"Delphinus_delannoy" "Delphinus_rikuzenensis" "Rule 1B"
"Delphinus_delannoy" "Delphinus_taramelli" "Rule 1B"
"Delphinus_delannoy" "Delphinus_wasii" "Rule 1B"
"Delphinus_delannoy" "Eudelphinus_compressus" "Rule 1B"
"Delphinus_delannoy" "Delphinus_tropicalis" "Rule 2B"
"Delphinus_delannoy" "Delphinus_capensis" "Rule 2B"
"Delphinus_delannoy" "Delphinus_delphis" "Rule 2B"
"Delphinus_dewaeli" "Delphinus_domeykoi" "Rule 1B"
"Delphinus_dewaeli" "Delphinus_rikuzenensis" "Rule 1B"
"Delphinus_dewaeli" "Delphinus_taramelli" "Rule 1B"
"Delphinus_dewaeli" "Delphinus_wasii" "Rule 1B"
"Delphinus_dewaeli" "Eudelphinus_compressus" "Rule 1B"
"Delphinus_dewaeli" "Delphinus_tropicalis" "Rule 2B"
"Delphinus_dewaeli" "Delphinus_capensis" "Rule 2B"
"Delphinus_dewaeli" "Delphinus_delphis" "Rule 2B"
"Delphinus_domeykoi" "Delphinus_rikuzenensis" "Rule 1B"
"Delphinus_domeykoi" "Delphinus_taramelli" "Rule 1B"
"Delphinus_domeykoi" "Delphinus_wasii" "Rule 1B"
"Delphinus_domeykoi" "Eudelphinus_compressus" "Rule 1B"
"Delphinus_domeykoi" "Delphinus_tropicalis" "Rule 2B"
"Delphinus_domeykoi" "Delphinus_capensis" "Rule 2B"
"Delphinus_domeykoi" "Delphinus_delphis" "Rule 2B"
"Delphinus_rikuzenensis" "Delphinus_taramelli" "Rule 1B"
"Delphinus_rikuzenensis" "Delphinus_wasii" "Rule 1B"
"Delphinus_rikuzenensis" "Eudelphinus_compressus" "Rule 1B"
"Delphinus_rikuzenensis" "Delphinus_tropicalis" "Rule 2B"
"Delphinus_rikuzenensis" "Delphinus_capensis" "Rule 2B"
