taxon,max,min,range
Aegicetus_gehennae,38.0,33.9,4.1
Balaena_larteti,23.03,2.588,20.442
Hoplocetus_curvidens,5.333,3.6,1.733
Orycterocetus crocodilinus,20.44,7.246,13.194
Sachalinocetus_cholmicus,23,11.6,11.4
Ihlengesi_saldanhae,16,5.3,10.7
Izikoziphius_angustus,16,5.3,10.7
Izikoziphius_rossi,16,5.3,10.7
Khoikhoicetus_agulhasis,16,5.3,10.7
Khoikhoicetus_kergueleni,16,5.3,10.7
Mesoplodon_slangkopi,16,5.3,10.7
Microberardius_africanus,16,5.3,10.7
Nenga_meganasalis,16,5.3,10.7
Pterocetus_benguelae,16,5.3,10.7
Xhosacetus_hendeysi,16,5.3,10.7
Caviziphius_altirostris,15.97,5.33,10.64
Vampalus_sayasanicus,15.97,5.33,10.64
Ziphirostrum_recurvus,15.97,5.33,10.64
Hoplocetus borgerhoutensis,11.62,1.806,9.814
Scaldicetus caretti,11.62,1.806,9.814
Babiacetus indicus,47.8,38,9.8
Basilotritus uheni,47.8,38,9.8
Georgiacetus vogtlensis,47.8,38,9.8
Aporotus_dicyrtus,11.6,2.588,9.012
Ziphirostrum_turninense,11.6,2.588,9.012
Pomatodelphis inaequalis,13.82,4.9,8.92
Rudicetus squalodontoides,15.97,7.246,8.724
Scaldicetus degiorgii,15.97,7.246,8.724
Cynthiacetus maxwelli,41.3,33.9,7.4
Microzeuglodon_caucasicum,41.2,33.9,7.3
Ziphiidae_indet_KNM_LP52956,23.3,16.1,7.2
Dalpiazina ombonii,23.03,15.97,7.06
Delphinoidea_indet_NMV_dash_72,23.03,15.97,7.06
Placoziphius duboisii,23.03,15.97,7.06
Preaulophyseter_gualichensis,23.03,15.97,7.06
Prosqualodon australis,23.03,15.97,7.06
Squalodon bariensis,23.03,15.97,7.06
Wimahl_chinookensis,23.03,15.97,7.06
Kentriodon pernix,20.44,13.82,6.62
Zarhinocetus donnamatsonae,20.44,13.82,6.62
Kentriodon schneideri,20.43,13.82,6.61
Crenatocetus_rayi,47.8,41.2,6.6
Pelocetus mirabilis,13.82,7.246,6.574
Ambulocetus natans,47.8,41.3,6.5
Artiocetus clavis,47.8,41.3,6.5
Attockicetus praecursor,47.8,41.3,6.5
Babiacetus mishrai,47.8,41.3,6.5
Dalanistes ahmedi,47.8,41.3,6.5
Dhedacetus hyaeni,47.8,41.3,6.5
Gandakasia potens,47.8,41.3,6.5
Gaviacetus razai,47.8,41.3,6.5
Ichthyolestes pinfoldi,47.8,41.3,6.5
