generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,-1,-9654.13,1,0.43,0
100000,1,0.151248,-5498.44,0.306846,0.364078,0.2209
200000,3,-2.69831,-5495.85,1.58011,0.355999,0.2098
300000,3,-3.10188,-5485.22,2.80537,0.357282,0.2557
400000,4,-4.56389,-5485.3,3.94375,0.363534,0.2508
500000,3,-2.74398,-5483.08,3.70177,0.363836,0.258
600000,3,-3.56569,-5483.55,4.08686,0.381186,0.2516
700000,3,-3.26933,-5481.82,2.40797,0.372379,0.2518
800000,2,0.312683,-5497.7,0.592888,0.373135,0.2372
900000,3,-3.1478,-5488.52,2.24863,0.38104,0.2461
1000000,1,-0.805872,-5498.67,1.26916,0.376662,0.2366
1100000,3,-1.89782,-5482.94,1.9734,0.371809,0.2519
1200000,3,-2.64931,-5491.65,1.24769,0.366371,0.2715
1300000,4,-1.02147,-5480.03,1.61525,0.395443,0.2502
1400000,1,0.00332283,-5501.8,0.4043,0.375207,0.2191
1500000,4,-2.59134,-5482.76,2.18009,0.379514,0.2578
1600000,3,-1.77926,-5482.06,0.734585,0.369803,0.2547
1700000,4,-2.67226,-5484.8,2.37602,0.385941,0.2605
1800000,3,-2.7895,-5485.28,2.28986,0.38056,0.2432
1900000,1,-0.200008,-5499.27,0.703738,0.367896,0.219
2000000,2,-2.40326,-5496.34,3.171,0.364707,0.209
2100000,2,-2.6219,-5496.8,1.41717,0.362132,0.2064
2200000,2,-1.78134,-5504.13,1.7013,0.383719,0.2849
2300000,3,-2.19978,-5481.58,2.08057,0.360746,0.2543
2400000,2,-1.90833,-5497.82,2.22529,0.37463,0.214
2500000,2,-1.96901,-5496.43,0.823764,0.376511,0.2135
2600000,3,-0.606388,-5484.65,1.2038,0.370361,0.2531
2700000,3,-3.25251,-5488.44,2.8622,0.3665,0.2235
2800000,2,-0.832874,-5495.36,1.05136,0.373356,0.221
2900000,2,-1.07237,-5496.96,1.81861,0.370502,0.2414
3000000,4,-1.17353,-5477.55,0.863314,0.377145,0.2513
3100000,2,0.414986,-5496.56,0.378112,0.380882,0.2513
3200000,2,-1.31454,-5498.2,2.20478,0.352168,0.2174
3300000,4,-0.842949,-5485.67,0.892795,0.348956,0.2444
3400000,2,-0.728748,-5498.56,1.01932,0.377714,0.2226
3500000,3,-4.18248,-5482.89,4.42725,0.369817,0.2575
3600000,3,-2.81472,-5487.86,3.76069,0.361049,0.2457
3700000,3,-2.97442,-5480.24,2.34176,0.366998,0.2492
3800000,1,-0.559822,-5502.53,0.89868,0.369191,0.2093
3900000,3,-0.616447,-5483.08,1.23142,0.362893,0.2502
4000000,3,-2.91752,-5488.93,3.89375,0.381283,0.2561
4100000,3,-2.67598,-5482.77,3.1266,0.368435,0.2432
4200000,3,-2.1398,-5483.15,1.59255,0.379921,0.2505
4300000,1,-0.00778981,-5505.71,0.439651,0.357366,0.2301
4400000,1,-0.251476,-5498.73,0.694678,0.366357,0.2072
4500000,1,-0.776055,-5501.39,1.20159,0.363355,0.2212
4600000,1,-0.0585797,-5501.84,0.447546,0.363147,0.2208
4700000,3,-0.607493,-5490.07,1.33934,0.370674,0.2502
4800000,1,-1.00793,-5499.27,1.46285,0.367957,0.2309
4900000,3,-1.70384,-5482.48,1.88437,0.361538,0.2282
5000000,2,-3.09403,-5501.67,3.76631,0.376922,0.2119
5100000,3,-0.999563,-5490.76,1.8796,0.36668,0.2192
5200000,3,-0.631477,-5483.11,0.989607,0.358985,0.2459
5300000,3,-3.60843,-5482.4,3.91889,0.377071,0.2588
5400000,4,-2.14995,-5484.66,3.24377,0.384724,0.2603
5500000,3,-0.918331,-5485.82,1.73592,0.356527,0.2406
5600000,2,-4.23497,-5502.98,1.7737,0.390537,0.2701
5700000,4,-1.49108,-5481.72,2.11585,0.362004,0.2524
5800000,1,-1.17566,-5503.36,1.60052,0.34303,0.2191
5900000,2,-2.74721,-5497.94,2.22307,0.38258,0.2735
6000000,4,-3.96666,-5486.56,4.78533,0.365559,0.2496
6100000,3,-0.978125,-5490.57,2.08774,0.375103,0.2629
6200000,4,-0.535296,-5495.13,0.984709,0.378728,0.2814
6300000,3,-1.87469,-5488.35,2.15518,0.358674,0.2531
6400000,3,-1.98152,-5482.51,1.70571,0.368011,0.2558
6500000,3,-0.862528,-5491.92,0.766664,0.357578,0.2527
6600000,4,-2.43184,-5487.49,2.66964,0.384494,0.2596
6700000,3,-3.60333,-5483.93,3.50363,0.37529,0.2536
6800000,1,-1.72059,-5505.25,2.19103,0.358466,0.2009
6900000,1,-1.30679,-5501.13,1.79809,0.350365,0.2491
7000000,3,-3.06248,-5485,2.3887,0.356862,0.2535
7100000,3,-2.72563,-5483.4,1.94251,0.38466,0.2631
7200000,2,-0.557695,-5491.24,1.37434,0.379526,0.2438
7300000,3,-2.47983,-5480.13,2.00985,0.377322,0.2555
7400000,4,-1.81074,-5480.83,2.68115,0.354356,0.2582
7500000,3,-2.55791,-5486.15,2.84757,0.350561,0.2512
7600000,3,-1.04661,-5484.98,0.773984,0.370304,0.2432
7700000,3,-1.57616,-5485.7,1.9171,0.376093,0.2356
7800000,4,-0.794168,-5476.39,1.91433,0.369855,0.251
7900000,1,0.390535,-5506.21,0.10136,0.361979,0.2324
8000000,1,0.0815447,-5500.35,0.37311,0.363803,0.2299
8100000,3,-4.80818,-5487.38,1.90686,0.368822,0.2456
8200000,2,-1.00863,-5501.27,0.780835,0.363424,0.2387
8300000,0,-0.10904,-5514.45,0.10904,0.352932,0.2194
8400000,3,-1.70287,-5486.23,2.38117,0.380284,0.2414
8500000,0,-0.244232,-5514.48,0.244232,0.383513,0.2262
8600000,1,-0.813723,-5503.51,1.17517,0.352066,0.2145
8700000,1,-0.370052,-5499.08,0.839551,0.354905,0.2503
8800000,1,-0.685866,-5506,1.01846,0.379077,0.2457
8900000,3,-1.49624,-5487.32,2.13207,0.360946,0.2489
9000000,3,-2.80109,-5482.75,2.5574,0.37374,0.2462
9100000,4,-2.44419,-5482.34,1.89423,0.368471,0.2529
9200000,1,-0.192823,-5501.98,0.539682,0.366281,0.2079
9300000,3,0.257601,-5488.25,0.875305,0.354885,0.2475
9400000,3,-2.34119,-5490.54,2.02773,0.390243,0.2221
9500000,4,-2.21075,-5483.07,1.44176,0.374619,0.2642
9600000,3,-2.23706,-5483.86,2.86474,0.365962,0.2528
9700000,0,-0.244418,-5515.2,0.244418,0.362794,0.2213
9800000,6,-4.7119,-5476.23,4.17272,0.383904,0.2523
9900000,1,-1.96073,-5502.22,2.31338,0.377837,0.2391
10000000,2,-2.56349,-5492.74,3.32114,0.36359,0.2559
10100000,3,-2.22025,-5486.33,3.04356,0.366758,0.2531
10200000,3,-2.66198,-5485.25,1.67928,0.372488,0.2449
10300000,3,-1.43482,-5482.7,1.69282,0.372568,0.2343
10400000,1,-0.399853,-5499.32,0.898224,0.3591,0.2033
