"Character" "Weight"
"Bianucci_etal_2013a" 157 1
"Bianucci_etal_2013a" 158 1
"Bianucci_etal_2013a" 159 1
"Bianucci_etal_2013a" 160 1
"Bianucci_etal_2013a" 161 1
"Bianucci_etal_2013a" 162 1
"Bianucci_etal_2013a" 163 1
"Bianucci_etal_2013a" 164 1
"Bianucci_etal_2013a" 165 1
"Bianucci_etal_2013a" 166 1
"Bianucci_etal_2013a" 167 1
"Bianucci_etal_2013a" 168 1
"Bianucci_etal_2013a" 169 1
"Bianucci_etal_2013a" 170 1
"Bianucci_etal_2013a" 171 1
"Bianucci_etal_2013a" 172 1
"Bianucci_etal_2013a" 173 1
"Bianucci_etal_2013a" 174 1
"Bianucci_etal_2013a" 175 1
"Bianucci_etal_2013a" 176 1
"Bianucci_etal_2013a" 177 1
"Bianucci_etal_2013a" 178 1
"Bianucci_etal_2013a" 179 1
"Bianucci_etal_2013a" 180 1
"Bianucci_etal_2013a" 181 1
"Bianucci_etal_2013a" 182 1
"Bianucci_etal_2013a" 183 1
"Bianucci_etal_2013a" 184 1
"Bianucci_etal_2013a" 185 1
"Bianucci_etal_2013a" 186 1
"Bianucci_etal_2013a" 187 1
"Bianucci_etal_2013a" 188 1
"Bianucci_etal_2013a" 189 1
"Bianucci_etal_2013a" 190 1
"Bianucci_etal_2013a" 191 1
"Bianucci_etal_2013a" 192 1
"Bianucci_etal_2013a" 193 1
"Bianucci_etal_2013a" 194 1
"Bianucci_etal_2013a" 195 1
"Bianucci_etal_2013a" 196 1
"Bianucci_etal_2013a" 197 1
"Bianucci_etal_2013a" 198 1
"Bianucci_etal_2013a" 199 1
"Bianucci_etal_2013a" 200 1
"Bianucci_etal_2013a" 201 1
"Bianucci_etal_2013a" 202 1
"Bianucci_etal_2013a" 203 1
"Bianucci_etal_2013a" 204 1
"Bianucci_etal_2013a" 205 1
"Bianucci_etal_2013a" 206 1
"Bianucci_etal_2013a" 207 1
"Bianucci_etal_2013a" 208 1
"Bianucci_etal_2013a" 209 1
"Bianucci_etal_2013a" 210 1
"Bianucci_etal_2013a" 211 1
"Bianucci_etal_2013a" 212 1
"Bianucci_etal_2013a" 213 1
"Bianucci_etal_2013a" 214 1
"Bianucci_etal_2013a" 215 1
"Bianucci_etal_2013a" 216 1
"Bianucci_etal_2013a" 217 1
"Bianucci_etal_2013a" 218 1
"Bianucci_etal_2013a" 219 1
"Bianucci_etal_2013a" 220 1
"Bianucci_etal_2013a" 221 1
"Bianucci_etal_2013a" 222 1
"Bianucci_etal_2013a" 223 1
"Bianucci_etal_2013a" 224 1
"Bianucci_etal_2013a" 225 1
"Bianucci_etal_2013a" 226 1
"Bianucci_etal_2013a" 227 1
"Bianucci_etal_2013a" 228 1
"Bianucci_etal_2013a" 229 1
"Bianucci_etal_2013a" 230 1
"Bianucci_etal_2013a" 231 1
"Bianucci_etal_2013a" 232 1
"Bianucci_etal_2013a" 233 1
"Bianucci_etal_2013a" 234 1
"Bianucci_etal_2013a" 235 1
"Bianucci_etal_2013a" 236 1
"Bianucci_etal_2013a" 237 1
"Bianucci_etal_2013a" 238 1
"Bianucci_etal_2013a" 239 1
"Bianucci_etal_2013a" 240 1
"Bianucci_etal_2013a" 241 1
"Bianucci_etal_2013a" 242 1
"Bianucci_etal_2013a" 243 1
"Bianucci_etal_2013a" 244 1
"Bianucci_etal_2013a" 245 1
"Bianucci_etal_2013a" 246 1
"Bianucci_etal_2018aa" 247 1
"Bianucci_etal_2018aa" 248 1
"Bianucci_etal_2018aa" 249 1
"Bianucci_etal_2018aa" 250 1
"Bianucci_etal_2018aa" 251 1
"Bianucci_etal_2018aa" 252 1
"Bianucci_etal_2018aa" 253 1
"Bianucci_etal_2018aa" 254 1
"Bianucci_etal_2018aa" 255 1
"Bianucci_etal_2018aa" 256 1
"Bianucci_etal_2018aa" 257 1
"Bianucci_etal_2018aa" 258 1
"Bianucci_etal_2018aa" 259 1
"Bianucci_etal_2018aa" 260 1
"Bianucci_etal_2018aa" 261 1
"Bianucci_etal_2018aa" 262 1
"Bianucci_etal_2018aa" 263 1
"Bianucci_etal_2018aa" 264 1
"Bianucci_etal_2018aa" 265 1
"Bianucci_etal_2018aa" 266 1
"Bianucci_etal_2018aa" 267 1
"Bianucci_etal_2018aa" 268 1
"Bianucci_etal_2018aa" 269 1
"Bianucci_etal_2018aa" 270 1
"Bianucci_etal_2018ab" 271 1
"Bianucci_etal_2018ab" 272 1
"Bianucci_etal_2018ab" 273 1
"Bianucci_etal_2018ab" 274 1
"Bianucci_etal_2018ab" 275 1
"Bianucci_etal_2018ab" 276 1
"Bianucci_etal_2018ab" 277 1
"Bianucci_etal_2018ab" 278 1
"Bianucci_etal_2018ab" 279 1
"Bianucci_etal_2018ab" 280 1
"Bianucci_etal_2018ab" 281 1
"Bianucci_etal_2018ab" 282 1
"Bianucci_etal_2018ab" 283 1
"Bianucci_etal_2018ab" 284 1
"Bianucci_etal_2018ab" 285 1
"Bianucci_etal_2018ab" 286 1
"Bianucci_etal_2018ab" 287 1
"Bianucci_etal_2018ab" 288 1
"Bianucci_etal_2018ab" 289 1
"Bianucci_etal_2018ab" 290 1
"Bianucci_etal_2018ab" 291 1
"Bianucci_etal_2018ab" 292 1
"Bianucci_etal_2018ab" 293 1
"Bianucci_etal_2018ab" 294 1
"Bianucci_etal_2018ab" 295 1
"Bianucci_etal_2018ab" 296 1
"Bianucci_etal_2018ab" 297 1
"Bianucci_etal_2018ab" 298 1
"Bianucci_etal_2018ab" 299 1
"Bianucci_etal_2018ab" 300 1
"Bianucci_etal_2018ab" 301 1
"Bianucci_etal_2018ab" 302 1
"Bianucci_etal_2018ab" 303 1
"Bianucci_etal_2018ab" 304 1
"Bianucci_etal_2018ab" 305 1
"Bianucci_etal_2018ab" 306 1
"Bianucci_etal_2018ab" 307 1
"Bianucci_etal_2018ab" 308 1
"Bianucci_etal_2018ab" 309 1
"Bianucci_etal_2018ab" 310 1
"Bianucci_etal_2018ab" 311 1
"Bianucci_etal_2018ab" 312 1
"Bianucci_etal_2018ab" 313 1
"Bianucci_etal_2018ab" 314 1
"Bianucci_etal_2018ab" 315 1
"Bianucci_etal_2018ab" 316 1
"Bianucci_etal_2018ab" 317 1
"Bianucci_etal_2018ab" 318 1
"Bianucci_etal_2018ab" 319 1
"Bianucci_etal_2018ab" 320 1
"Bianucci_etal_2018ab" 321 1
"Bianucci_etal_2018ab" 322 1
"Bianucci_etal_2018ab" 323 1
"Bianucci_etal_2018ab" 324 1
"Bianucci_etal_2018ab" 325 1
"Bianucci_etal_2018ab" 326 1
"Bianucci_etal_2018ab" 327 1
"Bianucci_etal_2018ab" 328 1
"Bianucci_etal_2018ab" 329 1
"Bianucci_etal_2018ab" 330 1
"Bianucci_etal_2018ab" 331 1
"Bianucci_etal_2018ab" 332 1
"Bianucci_etal_2018ab" 333 1
"Bianucci_etal_2018ab" 334 1
"Bianucci_etal_2018ab" 335 1
"Bianucci_etal_2018ab" 336 1
"Bianucci_etal_2018ab" 337 1
"Bianucci_etal_2018ab" 338 1
"Bianucci_etal_2018ab" 339 1
"Bianucci_etal_2018ab" 340 1
"Bianucci_etal_2018ab" 341 1
"Bianucci_etal_2018ab" 342 1
"Bianucci_etal_2018ab" 343 1
"Bianucci_etal_2018ab" 344 1
"Bianucci_etal_2018ab" 345 1
"Bianucci_etal_2018ab" 346 1
"Bianucci_etal_2018ab" 347 1
"Bianucci_etal_2018ab" 348 1
"Bianucci_etal_2018ab" 349 1
"Bianucci_etal_2018ab" 350 1
"Bianucci_etal_2018ab" 351 1
"Bianucci_etal_2018ab" 352 1
"Bianucci_etal_2018ab" 353 1
"Bianucci_etal_2018ab" 354 1
"Bianucci_etal_2018ab" 355 1
"Bianucci_etal_2018ab" 356 1
"Bianucci_etal_2018ab" 357 1
"Bianucci_etal_2018ab" 358 1
"Bianucci_etal_2018ab" 359 1
"Bianucci_etal_2018ab" 360 1
"Bianucci_etal_2018ab" 361 1
"Bianucci_etal_2018ab" 362 1
"Bianucci_etal_2018ab" 363 1
"Bianucci_etal_2018ab" 364 1
"Bianucci_etal_2018ab" 365 1
"Bianucci_etal_2018ab" 366 1
"Bianucci_etal_2018ab" 367 1
"Bianucci_etal_2018ab" 368 1
"Bianucci_etal_2018ab" 369 1
"Bianucci_etal_2018ab" 370 1
"Bianucci_etal_2018ab" 371 1
"Bianucci_etal_2018ab" 372 1
"Bianucci_etal_2018ab" 373 1
"Bianucci_etal_2018ab" 374 1
"Bianucci_etal_2018ab" 375 1
"Bianucci_etal_2018ab" 376 1
"Bianucci_etal_2018ab" 377 1
"Bianucci_etal_2018ab" 378 1
"Bianucci_etal_2018ab" 379 1
"Bianucci_etal_2018ab" 380 1
"Bianucci_etal_2018ab" 381 1
"Bianucci_etal_2018ab" 382 1
"Bianucci_etal_2018ab" 383 1
"Bianucci_etal_2018ab" 384 1
"Bianucci_etal_2018ab" 385 1
"Bianucci_etal_2018ab" 386 1
"Bianucci_etal_2018ab" 387 1
"Bianucci_etal_2018ab" 388 1
"Bianucci_etal_2018ab" 389 1
"Bianucci_etal_2018ab" 390 1
"Bianucci_etal_2018ab" 391 1
"Bianucci_etal_2018ab" 392 1
"Bianucci_etal_2018ab" 393 1
"Bianucci_etal_2018ab" 394 1
"Bianucci_etal_2018ab" 395 1
"Bianucci_etal_2018ab" 396 1
"Bianucci_etal_2018ab" 397 1
"Bianucci_etal_2018ab" 398 1
"Bianucci_etal_2018ab" 399 1
"Bianucci_etal_2018ab" 400 1
"Bianucci_etal_2018ab" 401 1
"Bianucci_etal_2018ab" 402 1
"Bianucci_etal_2018ab" 403 1
"Bianucci_etal_2018ab" 404 1
"Bianucci_etal_2018ab" 405 1
"Bianucci_etal_2018ab" 406 1
"Bianucci_etal_2018ab" 407 1
"Bianucci_etal_2018ab" 408 1
"Bianucci_etal_2018ab" 409 1
"Bianucci_etal_2018ab" 410 1
"Bianucci_etal_2018ab" 411 1
"Bianucci_etal_2018ab" 412 1
"Bianucci_etal_2018ab" 413 1
"Bianucci_etal_2018ab" 414 1
"Bianucci_etal_2018ab" 415 1
"Bianucci_etal_2018ab" 416 1
"Bianucci_etal_2018ab" 417 1
"Bianucci_etal_2018ab" 418 1
"Bianucci_etal_2018ab" 419 1
"Bianucci_etal_2018ab" 420 1
"Bianucci_etal_2019a" 421 1
"Bianucci_etal_2019a" 422 1
"Bianucci_etal_2019a" 423 1
"Bianucci_etal_2019a" 424 1
"Bianucci_etal_2019a" 425 1
"Bianucci_etal_2019a" 426 1
"Bianucci_etal_2019a" 427 1
"Bianucci_etal_2019a" 428 1
"Bianucci_etal_2019a" 429 1
"Bianucci_etal_2020a" 430 1
"Bianucci_etal_2020a" 431 1
"Bianucci_etal_2020a" 432 1
"Bianucci_etal_2020a" 433 1
"Bianucci_etal_2020a" 434 1
"Bianucci_etal_2020a" 435 1
"Bianucci_etal_2020a" 436 1
"Bianucci_etal_2020a" 437 1
"Bianucci_etal_2020a" 438 1
"Bianucci_etal_2020a" 439 1
"Bianucci_etal_2020a" 440 1
"Bianucci_etal_2020a" 441 1
"Bianucci_etal_2020a" 442 1
"Bianucci_etal_2020a" 443 1
