"Junior" "Senior" "Rule"
"Balaena_arcuata" "Balaena_larteti" "Rule 1B"
"Balaena_arcuata" "Balaena_macrocephalus" "Rule 1B"
"Balaena_arcuata" "Balaena_pampaea" "Rule 1B"
"Balaena_arcuata" "Balaena_sp_SDSNH_43880" "Rule 2B"
"Balaena_arcuata" "Balaena_montalionis" "Rule 2B"
"Balaena_arcuata" "Balaena_ricei" "Rule 2B"
"Balaena_arcuata" "Balaena_mysticetus" "Rule 2B"
"Balaena_dubusi" "Balaena_larteti" "Rule 1B"
"Balaena_dubusi" "Balaena_macrocephalus" "Rule 1B"
"Balaena_dubusi" "Balaena_pampaea" "Rule 1B"
"Balaena_dubusi" "Balaena_sp_SDSNH_43880" "Rule 2B"
"Balaena_dubusi" "Balaena_montalionis" "Rule 2B"
"Balaena_dubusi" "Balaena_ricei" "Rule 2B"
"Balaena_dubusi" "Balaena_mysticetus" "Rule 2B"
"Balaena_larteti" "Balaena_macrocephalus" "Rule 1B"
"Balaena_larteti" "Balaena_pampaea" "Rule 1B"
"Balaena_larteti" "Balaena_sp_SDSNH_43880" "Rule 2B"
"Balaena_larteti" "Balaena_montalionis" "Rule 2B"
"Balaena_larteti" "Balaena_ricei" "Rule 2B"
"Balaena_larteti" "Balaena_mysticetus" "Rule 2B"
"Balaena_macrocephalus" "Balaena_pampaea" "Rule 1B"
"Balaena_macrocephalus" "Balaena_sp_SDSNH_43880" "Rule 2B"
"Balaena_macrocephalus" "Balaena_montalionis" "Rule 2B"
"Balaena_macrocephalus" "Balaena_ricei" "Rule 2B"
"Balaena_macrocephalus" "Balaena_mysticetus" "Rule 2B"
"Balaena_pampaea" "Balaena_sp_SDSNH_43880" "Rule 2B"
"Balaena_pampaea" "Balaena_montalionis" "Rule 2B"
"Balaena_pampaea" "Balaena_ricei" "Rule 2B"
"Balaena_pampaea" "Balaena_mysticetus" "Rule 2B"
"BalaenopteraPlesiocetus_cortesii" "CetotheriumPlesiocetopsis_gervaisii" "Rule 1B"
"BalaenopteraPlesiocetus_cortesii" "Plesiocetus_dyticus" "Rule 1B"
"BalaenopteraPlesiocetus_cortesii" "Plesiocetus_giganteus" "Rule 1B"
"BalaenopteraPlesiocetus_cortesii" "Plesiocetus_intermedius" "Rule 1B"
"BalaenopteraPlesiocetus_cortesii" "Plesiocetus_minor" "Rule 1B"
"BalaenopteraPlesiocetus_cortesii" "Plesiocetus_occidentalis" "Rule 1B"
"BalaenopteraPlesiocetus_cortesii" "Plesiocetus_rostratus" "Rule 1B"
"BalaenopteraPlesiocetus_cortesii" "Plesiocetus_tertius" "Rule 1B"
"Balaenoptera_cephalus" "Balaenoptera_davidsonii" "Rule 1B"
"Balaenoptera_cephalus" "Balaenoptera_sursiplana" "Rule 1B"
"Balaenoptera_cephalus" "Balaenoptera_bertae" "Rule 2B"
"Balaenoptera_cephalus" "Balaenoptera_siberi" "Rule 2B"
"Balaenoptera_cephalus" "Balaenoptera_brydei" "Rule 2B"
"Balaenoptera_cephalus" "Balaenoptera_edeni" "Rule 2B"
"Balaenoptera_cephalus" "Balaenoptera_omurai" "Rule 2B"
"Balaenoptera_cephalus" "Balaenoptera_bonaerensis" "Rule 2B"
"Balaenoptera_cephalus" "Balaenoptera_borealis" "Rule 2B"
"Balaenoptera_cephalus" "Balaenoptera_musculus" "Rule 2B"
"Balaenoptera_cephalus" "Balaenoptera_acutorostrata" "Rule 2B"
"Balaenoptera_cephalus" "Balaenoptera_physalus" "Rule 2B"
"Balaenoptera_davidsonii" "Balaenoptera_sursiplana" "Rule 1B"
"Balaenoptera_davidsonii" "Balaenoptera_bertae" "Rule 2B"
"Balaenoptera_davidsonii" "Balaenoptera_siberi" "Rule 2B"
"Balaenoptera_davidsonii" "Balaenoptera_brydei" "Rule 2B"
"Balaenoptera_davidsonii" "Balaenoptera_edeni" "Rule 2B"
"Balaenoptera_davidsonii" "Balaenoptera_omurai" "Rule 2B"
"Balaenoptera_davidsonii" "Balaenoptera_bonaerensis" "Rule 2B"
"Balaenoptera_davidsonii" "Balaenoptera_borealis" "Rule 2B"
"Balaenoptera_davidsonii" "Balaenoptera_musculus" "Rule 2B"
"Balaenoptera_davidsonii" "Balaenoptera_acutorostrata" "Rule 2B"
"Balaenoptera_davidsonii" "Balaenoptera_physalus" "Rule 2B"
"Balaenoptera_sursiplana" "Balaenoptera_bertae" "Rule 2B"
"Balaenoptera_sursiplana" "Balaenoptera_siberi" "Rule 2B"
"Balaenoptera_sursiplana" "Balaenoptera_brydei" "Rule 2B"
"Balaenoptera_sursiplana" "Balaenoptera_edeni" "Rule 2B"
"Balaenoptera_sursiplana" "Balaenoptera_omurai" "Rule 2B"
"Balaenoptera_sursiplana" "Balaenoptera_bonaerensis" "Rule 2B"
"Balaenoptera_sursiplana" "Balaenoptera_borealis" "Rule 2B"
"Balaenoptera_sursiplana" "Balaenoptera_musculus" "Rule 2B"
"Balaenoptera_sursiplana" "Balaenoptera_acutorostrata" "Rule 2B"
"Balaenoptera_sursiplana" "Balaenoptera_physalus" "Rule 2B"
"Balaenotus_insignis" "Balaenotus_orcianensis" "Rule 1B"
"Balaenula_forsythmajori" "Balaenula_balaenopsis" "Rule 2B"
"Balaenula_forsythmajori" "Balaenula_sp_HUES_10003" "Rule 2B"
"Balaenula_forsythmajori" "Balaenula_sp_SMAC_1309" "Rule 2B"
"Balaenula_forsythmajori" "Balaenula_astensis" "Rule 2B"
"Basiloterus_hussaini" "Masracetus_markgrafi" "Rule 1B"
"Basiloterus_hussaini" "Stromerius_nidensis" "Rule 1B"
"Basiloterus_hussaini" "Sulaimanitherium_dhanotri" "Rule 1B"
"Basiloterus_hussaini" "Ocucajea_picklingi" "Rule 2B"
"Basiloterus_hussaini" "Supayacetus_muizoni" "Rule 2B"
"Basiloterus_hussaini" "Ancalecetus_simonsi" "Rule 2B"
"Basiloterus_hussaini" "Saghacetus_osiris" "Rule 2B"
