generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,-1,-5939.12,1,0.43,0
50000,4,-3.26851,-3383.34,1.62489,0.606042,0.3103
100000,3,0.136111,-3381.72,0.832783,0.61596,0.2791
150000,2,0.176943,-3382.78,0.488694,0.648666,0.2686
200000,2,0.388405,-3382.45,0.431786,0.600392,0.27053
250000,4,-0.713233,-3375.61,2.37422,0.603392,0.270637
300000,2,-2.83117,-3381.62,3.56416,0.629248,0.261067
350000,3,-1.47088,-3375.59,1.55741,0.606192,0.2636
400000,5,-4.6528,-3377.87,3.67652,0.603497,0.263575
450000,2,-0.157786,-3381.13,0.862895,0.609913,0.2764
500000,2,-0.659151,-3381.65,1.378,0.622849,0.26895
550000,2,-2.35571,-3385.51,3.01634,0.608546,0.277475
600000,3,-4.97827,-3379.99,4.17231,0.601704,0.276957
650000,4,-0.901042,-3374.07,2.2877,0.608319,0.258
700000,3,-1.79166,-3381.14,1.74608,0.582821,0.2619
750000,4,-1.16943,-3378.08,1.84393,0.593634,0.267663
800000,3,0.486842,-3378.53,0.560727,0.661082,0.2612
850000,2,0.329736,-3381.21,0.465004,0.637829,0.2639
900000,2,0.120529,-3382.07,0.61108,0.611443,0.2646
950000,3,-1.68552,-3381.7,1.54466,0.630151,0.266033
1000000,4,-4.12025,-3376.72,3.75985,0.580579,0.2868
1050000,3,-1.08882,-3378.46,2.06385,0.61607,0.281
1100000,2,-2.03463,-3382.78,2.73191,0.579038,0.277929
1150000,2,-0.687261,-3381.98,1.31671,0.591978,0.274813
1200000,2,-0.278104,-3383.63,1.09435,0.622787,0.273667
1250000,3,-1.49032,-3381.7,1.79384,0.613948,0.282355
1300000,2,-0.370611,-3387.33,0.889135,0.629892,0.270186
1350000,3,0.182636,-3375.98,1.09786,0.626081,0.266279
1400000,2,-2.82363,-3386.63,3.40841,0.606498,0.265329
1450000,2,-1.61464,-3382.56,2.29571,0.608178,0.270433
1500000,2,-1.4973,-3380.11,2.28292,0.611635,0.2817
1550000,3,-0.771145,-3379.82,2.05233,0.588385,0.269
1600000,2,-2.54364,-3379.39,3.33691,0.610771,0.2605
1650000,3,-0.995502,-3381.99,1.24062,0.631029,0.271175
1700000,3,-1.26865,-3380.52,1.65071,0.645823,0.27325
1750000,2,-0.48323,-3382.53,1.05579,0.59252,0.2706
1800000,2,-0.787204,-3384.83,1.39443,0.601896,0.27354
1850000,2,0.259611,-3382.43,0.305427,0.595563,0.2593
1900000,3,-8.18145,-3381.45,7.51002,0.628934,0.27
1950000,3,0.0158156,-3383.49,1.05647,0.651441,0.26425
2000000,2,0.0291567,-3381.63,0.787778,0.60276,0.270318
2050000,3,-0.688298,-3376.55,1.70262,0.627264,0.27812
2100000,2,0.421203,-3382.04,0.306347,0.612252,0.2585
2150000,2,-2.27794,-3387.9,3.0029,0.601035,0.2785
2200000,2,-0.344948,-3381.36,0.922895,0.616356,0.2789
2250000,4,-2.40122,-3383.46,2.14509,0.581886,0.2641
2300000,2,0.0237417,-3383.83,0.763992,0.628198,0.26755
2350000,2,-1.5776,-3381.57,2.41831,0.598883,0.267878
2400000,2,-1.70925,-3385.42,2.49559,0.577466,0.270225
2450000,3,0.0278856,-3378.83,1.27033,0.640323,0.2553
2500000,3,0.726688,-3383.75,0.354729,0.633959,0.26468
2550000,3,-2.08826,-3380.17,1.47151,0.621624,0.25855
2600000,2,-0.0345313,-3381.59,0.853203,0.592745,0.27156
2650000,3,-0.341912,-3385.7,1.10603,0.629681,0.276825
2700000,2,-0.69125,-3382.94,1.30351,0.602471,0.27035
2750000,3,-1.454,-3381.72,0.544544,0.617863,0.27585
2800000,2,0.367149,-3382.77,0.404006,0.640073,0.266175
2850000,2,-0.201494,-3380.55,0.923298,0.633831,0.27214
2900000,3,-0.473047,-3378.2,1.586,0.596772,0.2682
2950000,2,-0.828522,-3382.51,1.6496,0.602386,0.277675
3000000,4,-1.02891,-3382.49,2.68352,0.618235,0.2714
3050000,3,-3.98196,-3379.65,5.07937,0.645406,0.27715
3100000,3,-1.74701,-3377.71,0.785348,0.618823,0.265
3150000,2,-0.673295,-3387.23,1.34385,0.613374,0.2911
3200000,2,-0.337498,-3382.93,1.01165,0.602343,0.270525
3250000,2,-1.00763,-3381.81,1.65951,0.608708,0.2765
3300000,5,-5.13698,-3376.58,5.60692,0.578688,0.27366
3350000,2,-0.787299,-3381.7,1.65395,0.609743,0.258
3400000,3,-1.43947,-3382.44,1.68906,0.582924,0.266
3450000,5,-1.71016,-3379.51,2.12513,0.610822,0.26925
3500000,2,-0.197713,-3389.15,0.888587,0.642767,0.2659
3550000,2,-2.26772,-3384.99,2.86431,0.583849,0.26765
3600000,1,-0.850428,-3395.87,1.28214,0.601691,0.2453
3650000,3,-0.819518,-3383.93,1.44084,0.60061,0.2703
3700000,3,-0.61503,-3383.55,1.26032,0.653023,0.26128
3750000,2,-3.8199,-3388.78,4.07191,0.610168,0.2654
3800000,6,-3.18285,-3368.51,2.94043,0.62348,0.2619
3850000,2,0.232232,-3386.02,0.296891,0.595155,0.27796
3900000,3,-0.209102,-3380.2,1.48919,0.615682,0.2677
3950000,3,-3.61391,-3383.63,2.46409,0.60971,0.26895
4000000,2,-1.56279,-3383.71,2.18469,0.597775,0.2688
4050000,3,-1.73543,-3385.3,1.49244,0.627664,0.267
4100000,3,-2.0084,-3384.31,2.56338,0.64723,0.27185
4150000,2,-0.654106,-3384.57,1.32794,0.662503,0.2682
4200000,4,-2.4932,-3380.71,2.18036,0.593988,0.264886
4250000,2,-1.01172,-3383.94,1.59038,0.616591,0.2647
4300000,2,-1.42908,-3384.91,2.11888,0.635954,0.276433
4350000,2,-1.69252,-3380.78,2.45974,0.626659,0.2676
4400000,2,-0.326657,-3396.33,0.726488,0.62462,0.2708
4450000,2,0.231927,-3384.83,0.681528,0.586101,0.272275
4500000,4,-0.762615,-3384.49,1.00235,0.590946,0.27484
