"junior" "senior" "rule"
"Africanacetus_gracilis" "Africanacetus_ceratopsis" "rule_2b"
"Aglaocetus_burtinii" "Aglaocetus_latifrons" "rule_1b"
"Aglaocetus_burtinii" "Aglaocetus_rotundus" "rule_1b"
"Aglaocetus_burtinii" "Aglaocetus_longifrons" "rule_2b"
"Aglaocetus_burtinii" "Aglaocetus_moreni" "rule_2b"
"Aglaocetus_latifrons" "Aglaocetus_rotundus" "rule_1b"
"Aglaocetus_latifrons" "Aglaocetus_longifrons" "rule_2b"
"Aglaocetus_latifrons" "Aglaocetus_moreni" "rule_2b"
"Aglaocetus_rotundus" "Aglaocetus_longifrons" "rule_2b"
"Aglaocetus_rotundus" "Aglaocetus_moreni" "rule_2b"
"Albireo_savagei" "Albireo_whistleri" "rule_2b"
"Atlanticetus_laevi" "Atlanticetus_lavei" "rule_2b"
"Atlanticetus_laevi" "Atlanticetus_patulus" "rule_2b"
"Aulophyseter_mediatlanticus" "Aulophyseter_morricei" "rule_2b"
"Balaena_arcuata" "Balaena_dubusi" "rule_1b"
"Balaena_arcuata" "Balaena_larteti" "rule_1b"
"Balaena_arcuata" "Balaena_macrocephalus" "rule_1b"
"Balaena_arcuata" "Balaena_meneghinii" "rule_1b"
"Balaena_arcuata" "Balaena_pampaea" "rule_1b"
"Balaena_arcuata" "Balaena_sp_SDSNH_43880" "rule_2b"
"Balaena_arcuata" "Balaena_montalionis" "rule_2b"
"Balaena_arcuata" "Balaena_ricei" "rule_2b"
"Balaena_arcuata" "Balaena_mysticetus" "rule_2b"
"Balaena_dubusi" "Balaena_larteti" "rule_1b"
"Balaena_dubusi" "Balaena_macrocephalus" "rule_1b"
"Balaena_dubusi" "Balaena_meneghinii" "rule_1b"
"Balaena_dubusi" "Balaena_pampaea" "rule_1b"
"Balaena_dubusi" "Balaena_sp_SDSNH_43880" "rule_2b"
"Balaena_dubusi" "Balaena_montalionis" "rule_2b"
"Balaena_dubusi" "Balaena_ricei" "rule_2b"
"Balaena_dubusi" "Balaena_mysticetus" "rule_2b"
"Balaena_larteti" "Balaena_macrocephalus" "rule_1b"
"Balaena_larteti" "Balaena_meneghinii" "rule_1b"
"Balaena_larteti" "Balaena_pampaea" "rule_1b"
"Balaena_larteti" "Balaena_sp_SDSNH_43880" "rule_2b"
"Balaena_larteti" "Balaena_montalionis" "rule_2b"
"Balaena_larteti" "Balaena_ricei" "rule_2b"
"Balaena_larteti" "Balaena_mysticetus" "rule_2b"
"Balaena_macrocephalus" "Balaena_meneghinii" "rule_1b"
"Balaena_macrocephalus" "Balaena_pampaea" "rule_1b"
"Balaena_macrocephalus" "Balaena_sp_SDSNH_43880" "rule_2b"
"Balaena_macrocephalus" "Balaena_montalionis" "rule_2b"
"Balaena_macrocephalus" "Balaena_ricei" "rule_2b"
"Balaena_macrocephalus" "Balaena_mysticetus" "rule_2b"
"Balaena_meneghinii" "Balaena_pampaea" "rule_1b"
"Balaena_meneghinii" "Balaena_sp_SDSNH_43880" "rule_2b"
"Balaena_meneghinii" "Balaena_montalionis" "rule_2b"
"Balaena_meneghinii" "Balaena_ricei" "rule_2b"
"Balaena_meneghinii" "Balaena_mysticetus" "rule_2b"
"Balaena_pampaea" "Balaena_sp_SDSNH_43880" "rule_2b"
"Balaena_pampaea" "Balaena_montalionis" "rule_2b"
"Balaena_pampaea" "Balaena_ricei" "rule_2b"
"Balaena_pampaea" "Balaena_mysticetus" "rule_2b"
"Balaenoptera_cephalus" "Balaenoptera_davidsonii" "rule_1b"
"Balaenoptera_cephalus" "Balaenoptera_sursiplana" "rule_1b"
"Balaenoptera_cephalus" "Balaenoptera_bertae" "rule_2b"
"Balaenoptera_cephalus" "Balaenoptera_siberi" "rule_2b"
"Balaenoptera_cephalus" "Balaenoptera_brydei" "rule_2b"
"Balaenoptera_cephalus" "Balaenoptera_edeni" "rule_2b"
"Balaenoptera_cephalus" "Balaenoptera_omurai" "rule_2b"
"Balaenoptera_cephalus" "Balaenoptera_bonaerensis" "rule_2b"
"Balaenoptera_cephalus" "Balaenoptera_borealis" "rule_2b"
"Balaenoptera_cephalus" "Balaenoptera_musculus" "rule_2b"
"Balaenoptera_cephalus" "Balaenoptera_acutorostrata" "rule_2b"
"Balaenoptera_cephalus" "Balaenoptera_physalus" "rule_2b"
"Balaenoptera_davidsonii" "Balaenoptera_sursiplana" "rule_1b"
"Balaenoptera_davidsonii" "Balaenoptera_bertae" "rule_2b"
"Balaenoptera_davidsonii" "Balaenoptera_siberi" "rule_2b"
"Balaenoptera_davidsonii" "Balaenoptera_brydei" "rule_2b"
"Balaenoptera_davidsonii" "Balaenoptera_edeni" "rule_2b"
"Balaenoptera_davidsonii" "Balaenoptera_omurai" "rule_2b"
"Balaenoptera_davidsonii" "Balaenoptera_bonaerensis" "rule_2b"
"Balaenoptera_davidsonii" "Balaenoptera_borealis" "rule_2b"
"Balaenoptera_davidsonii" "Balaenoptera_musculus" "rule_2b"
"Balaenoptera_davidsonii" "Balaenoptera_acutorostrata" "rule_2b"
"Balaenoptera_davidsonii" "Balaenoptera_physalus" "rule_2b"
"Balaenoptera_sursiplana" "Balaenoptera_bertae" "rule_2b"
"Balaenoptera_sursiplana" "Balaenoptera_siberi" "rule_2b"
"Balaenoptera_sursiplana" "Balaenoptera_brydei" "rule_2b"
"Balaenoptera_sursiplana" "Balaenoptera_edeni" "rule_2b"
"Balaenoptera_sursiplana" "Balaenoptera_omurai" "rule_2b"
"Balaenoptera_sursiplana" "Balaenoptera_bonaerensis" "rule_2b"
"Balaenoptera_sursiplana" "Balaenoptera_borealis" "rule_2b"
"Balaenoptera_sursiplana" "Balaenoptera_musculus" "rule_2b"
"Balaenoptera_sursiplana" "Balaenoptera_acutorostrata" "rule_2b"
"Balaenoptera_sursiplana" "Balaenoptera_physalus" "rule_2b"
"Balaenula_forsythmajori" "Balaenula_balaenopsis" "rule_2b"
"Balaenula_forsythmajori" "Balaenula_sp_HUES_10003" "rule_2b"
"Balaenula_forsythmajori" "Balaenula_sp_SMAC_1309" "rule_2b"
"Balaenula_forsythmajori" "Balaenula_astensis" "rule_2b"
"Cetotherium_capellinii" "Cetotherium_crassangulum" "rule_1b"
"Cetotherium_capellinii" "Cetotherium_furlongi" "rule_1b"
"Cetotherium_capellinii" "Cetotherium_parvum" "rule_1b"
"Cetotherium_capellinii" "Cetotherium_polyporum" "rule_1b"
"Cetotherium_capellinii" "Cetotherium_megalophysum" "rule_2b"
"Cetotherium_capellinii" "Cetotherium_riabinini" "rule_2b"
"Cetotherium_capellinii" "Cetotherium_rathkii" "rule_2b"
"Cetotherium_crassangulum" "Cetotherium_furlongi" "rule_1b"
"Cetotherium_crassangulum" "Cetotherium_parvum" "rule_1b"
"Cetotherium_crassangulum" "Cetotherium_polyporum" "rule_1b"
"Cetotherium_crassangulum" "Cetotherium_megalophysum" "rule_2b"
"Cetotherium_crassangulum" "Cetotherium_riabinini" "rule_2b"
"Cetotherium_crassangulum" "Cetotherium_rathkii" "rule_2b"
"Cetotherium_furlongi" "Cetotherium_parvum" "rule_1b"
"Cetotherium_furlongi" "Cetotherium_polyporum" "rule_1b"
"Cetotherium_furlongi" "Cetotherium_megalophysum" "rule_2b"
"Cetotherium_furlongi" "Cetotherium_riabinini" "rule_2b"
"Cetotherium_furlongi" "Cetotherium_rathkii" "rule_2b"
"Cetotherium_parvum" "Cetotherium_polyporum" "rule_1b"
"Cetotherium_parvum" "Cetotherium_megalophysum" "rule_2b"
"Cetotherium_parvum" "Cetotherium_riabinini" "rule_2b"
"Cetotherium_parvum" "Cetotherium_rathkii" "rule_2b"
"Cetotherium_polyporum" "Cetotherium_megalophysum" "rule_2b"
"Cetotherium_polyporum" "Cetotherium_riabinini" "rule_2b"
"Cetotherium_polyporum" "Cetotherium_rathkii" "rule_2b"
"Choneziphius_chonops" "Choneziphius_liops" "rule_1b"
"Choneziphius_chonops" "Choneziphius_trachops" "rule_1b"
"Choneziphius_chonops" "Choneziphius_macrops" "rule_2b"
"Choneziphius_chonops" "Choneziphius_leidyi" "rule_2b"
"Choneziphius_chonops" "Choneziphius_planirostris" "rule_2b"
"Choneziphius_liops" "Choneziphius_trachops" "rule_1b"
"Choneziphius_liops" "Choneziphius_macrops" "rule_2b"
"Choneziphius_liops" "Choneziphius_leidyi" "rule_2b"
"Choneziphius_liops" "Choneziphius_planirostris" "rule_2b"
"Choneziphius_trachops" "Choneziphius_macrops" "rule_2b"
"Choneziphius_trachops" "Choneziphius_leidyi" "rule_2b"
"Choneziphius_trachops" "Choneziphius_planirostris" "rule_2b"
"Chrysocetus_fouadassii" "Chrysocetus_healyorum" "rule_2b"
