generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Delphinus_delphis,Balaenoptera_borealis,0,0.002,0,0.9,0
10000,Delphinus_delphis,Balaenoptera_borealis,0,0.218689,0,0.20217,0
10000,Balaenoptera_borealis,Balaenoptera_bonaerensis,21.1211,0.0444576,0,0.0289455,0
10000,Idiorophus_patagonicus,Kogia_breviceps,12.0573,0.184348,0,0.178389,0
10000,Pomatodelphis_stenorhynchus,Zarhachis_flagellator,20.1724,0.356479,0,0.405949,0
10000,Delphinus_delphis,Ferecetotherium_kelloggi,6.77691,0.149858,0,0.118812,0
20000,Delphinus_delphis,Balaenoptera_borealis,0,0.176549,0,0.174822,0
20000,Tohoraata_waitakiensis,Eomysticetus_whitmorei,8.07002,1.06141,0,1.39499,0
20000,Balaenoptera_borealis,Balaenoptera_bonaerensis,21.2035,0.0998573,0,0.0189338,0
20000,Mesoplodon_grayi,Indopacetus_pacificus,22.1453,0.145176,0,0.00768961,0
20000,Delphinus_delphis,Cephalorhynchus_eutropia,23.0541,0.203323,0,0.0283098,0
30000,Delphinus_delphis,Balaenoptera_borealis,0,0.184437,0,0.17742,0
30000,Tohoraata_waitakiensis,Matapanui_waihao,8.47724,1.49062,0,1.65249,0
30000,Balaenoptera_borealis,Balaenoptera_bonaerensis,21.2327,0.061801,0,0.0216214,0
30000,Mesoplodon_grayi,Ninoziphius_platyrostris,9.23567,0.125669,0,0.0824764,0
30000,Heterodelphis_croatica,Hadrodelphis_calvertense,13.8691,0.32954,0,0.258232,0
30000,Delphinus_delphis,Orcinus_orca,21.1286,0.179207,0,0.0437559,0
40000,Delphinus_delphis,Balaenoptera_borealis,0,0.187688,0,0.173474,0
40000,Herpetocetus_scaldiensis,Nannocetus_eremus,23.4896,0.168842,0,0.224768,0
40000,Balaenoptera_borealis,Balaenoptera_physalus,20.3142,0.093941,0,0.0221437,0
40000,Cotylocara_macei,Xenorophidae_indet_ChM_PV4746,4.83115,0.566422,0,0.533907,0
40000,Hoplocetus_borgerhoutensis,Preaulophyseter_gualichensis,15.33,0.504749,0,0.532446,0
40000,Mesoplodon_grayi,Ninoziphius_platyrostris,9.78113,0.106228,0,0.0698619,0
40000,Delphinus_delphis,Eodelphinus_kabatensis,18.9084,0.211752,0,0.0652178,0
50000,Delphinus_delphis,Balaenoptera_borealis,0,0.185421,0,0.184504,0
50000,Balaenoptera_borealis,Balaenoptera_bonaerensis,21.0197,0.0644689,0,0.00431393,0
50000,Squalodon_atlanticus,Squalodon_dalpiazi,11.1526,0.604567,0,0.459606,0
50000,Mesoplodon_grayi,Ninoziphius_platyrostris,9.63356,0.117677,0,0.09455,0
50000,Delphinus_delphis,Lagenorhynchus_albirostris,22.3404,0.185162,0,0.0464738,0
60000,Delphinus_delphis,Balaenoptera_borealis,0,0.19612,0,0.201683,0
60000,Tohoraata_waitakiensis,Eomysticetus_whitmorei,7.79321,0.818998,0,0.851761,0
60000,Balaenoptera_borealis,Balaenoptera_bonaerensis,21.1022,0.0607086,0,0.012257,0
60000,Mesoplodon_grayi,Ninoziphius_platyrostris,9.38379,0.107037,0,0.0944537,0
60000,Delphinus_delphis,Cephalorhynchus_eutropia,23.0302,0.194316,0,0.0245153,0
70000,Delphinus_delphis,Balaenoptera_borealis,0,0.191745,0,0.169395,0
70000,Balaenoptera_borealis,Balaenoptera_bonaerensis,20.7712,0.0782774,0,0.000546174,0
70000,Mesoplodon_grayi,Ninoziphius_platyrostris,9.47777,0.157001,0,0.146521,0
70000,Phocoena_dioptrica,Neophocaena_asiaeorientalis,29.5427,0.385594,0,0.0956565,0
70000,Delphinus_delphis,Eodelphinus_kabatensis,18.8106,0.161766,0,0.0642064,0
80000,Delphinus_delphis,Balaenoptera_borealis,0,0.190557,0,0.178561,0
80000,Balaenoptera_borealis,Balaenoptera_bonaerensis,20.9882,0.170819,0,0.00722776,0
80000,Cotylocara_macei,Xenorophidae_indet_ChM_PV2758,6.30181,0.287785,0,0.327196,0
80000,Mesoplodon_grayi,Ninoziphius_platyrostris,9.40644,0.134906,0,0.0846312,0
80000,Casatia_thermophila,Haborodelphis_japonicus,24.7127,0.339144,0,0.18087,0
80000,Delphinus_delphis,Eodelphinus_kabatensis,20.7216,0.172085,0,0.0520256,0
90000,Delphinus_delphis,Balaenoptera_borealis,0,0.193846,0,0.190801,0
90000,Balaenoptera_borealis,Cetotheriophanes_capellinii,19.7106,0.0962491,0,0.0449531,0
90000,Mesoplodon_grayi,Choneziphius_liops,10.3041,0.120115,0,0.0701162,0
90000,Delphinus_delphis,Eodelphinus_kabatensis,20.4387,0.165702,0,0.0573301,0
100000,Delphinus_delphis,Balaenoptera_borealis,0,0.179691,0,0.185799,0
100000,Balaenoptera_borealis,Balaenoptera_bonaerensis,20.9098,0.0925099,0,0.0143322,0
100000,Mesoplodon_grayi,Ninoziphius_platyrostris,9.7184,0.132265,0,0.0908755,0
100000,Delphinus_delphis,Leucopleurus_acutus,21.9055,0.180109,0,0.0685787,0
110000,Delphinus_delphis,Balaenoptera_borealis,0,0.188721,0,0.184956,0
110000,Tohoraata_waitakiensis,Tlaxcallicetus_sp_MU_EcSj5_slash_18_slash_95,4.86858,0.492858,0,0.454792,0
110000,Balaenoptera_borealis,Balaenoptera_physalus,20.3605,0.115178,0,0.0458009,0
110000,Mesoplodon_grayi,Ninoziphius_platyrostris,9.30025,0.127826,0,0.0958189,0
110000,Heterodelphis_croatica,Hadrodelphis_calvertense,14.6891,0.298514,0,0.378331,0
110000,Delphinus_delphis,Orcinus_orca,21.4134,0.143963,0,0.0382207,0
120000,Delphinus_delphis,Balaenoptera_borealis,0,0.199856,0,0.200848,0
120000,Tohoraata_waitakiensis,Matapanui_waihao,8.9959,1.95133,0,1.09778,0
120000,Balaenoptera_borealis,Cetotheriophanes_capellinii,19.8457,0.0966596,0,0.0583864,0
120000,Mesoplodon_grayi,Ninoziphius_platyrostris,9.93487,0.133683,0,0.0834836,0
120000,Delphinus_delphis,Eodelphinus_kabatensis,20.2799,0.172122,0,0.045254,0
130000,Delphinus_delphis,Balaenoptera_borealis,0,0.181623,0,0.179185,0
130000,Balaenoptera_borealis,Balaenoptera_bonaerensis,21.0571,0.140134,0,0.0350835,0
130000,Mesoplodon_grayi,Ninoziphius_platyrostris,9.63754,0.118149,0,0.0982652,0
130000,Delphinus_delphis,Eodelphinus_kabatensis,18.4185,0.211199,0,0.0370791,0
140000,Delphinus_delphis,Balaenoptera_borealis,0,0.18313,0,0.185466,0
140000,Balaenoptera_borealis,Balaenoptera_musculus,21.7021,0.0769448,0,0.00130386,0
140000,Mesoplodon_grayi,Ninoziphius_platyrostris,9.21682,0.122001,0,0.0948237,0
140000,Delphinus_delphis,Eodelphinus_kabatensis,20.5352,0.155555,0,0.0576034,0
150000,Delphinus_delphis,Balaenoptera_borealis,0,0.17949,0,0.180979,0
150000,Aetiocetus_polydentatus,Fucaia_buelli,4.15859,0.279282,0,0.254436,0
150000,Balaenoptera_borealis,Balaenoptera_bonaerensis,20.7786,0.127782,0,0.00953512,0
150000,Mesoplodon_grayi,Ninoziphius_platyrostris,9.73683,0.142365,0,0.097982,0
150000,Delphinus_delphis,Lagenorhynchus_albirostris,22.9186,0.205167,0,0.0420761,0
160000,Delphinus_delphis,Balaenoptera_borealis,0,0.191571,0,0.19653,0
160000,Balaenoptera_borealis,Balaenoptera_bonaerensis,21.2291,0.0605365,0,0.00130624,0
160000,Mesoplodon_grayi,Choneziphius_liops,10.3935,0.107468,0,0.0776969,0
160000,Delphinus_delphis,Eodelphinus_kabatensis,20.3774,0.181344,0,0.0296129,0
170000,Delphinus_delphis,Balaenoptera_borealis,0,0.176399,0,0.186633,0
170000,Balaenoptera_borealis,Balaenoptera_bonaerensis,21.2032,0.133195,0,0.0190675,0
170000,Pomatodelphis_stenorhynchus,Zarhachis_flagellator,20.1957,0.397974,0,0.731805,0
170000,Mesoplodon_grayi,Ninoziphius_platyrostris,9.79421,0.124187,0,0.108638,0
170000,Delphinus_delphis,Eodelphinus_kabatensis,18.9043,0.207986,0,0.0453128,0
180000,Delphinus_delphis,Balaenoptera_borealis,0,0.190714,0,0.193133,0
180000,Balaenoptera_borealis,Balaenoptera_bonaerensis,20.8242,0.0951843,0,0.0119496,0
180000,Mesoplodon_grayi,Ninoziphius_platyrostris,9.51442,0.110612,0,0.0682477,0
