generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,-1,-8301.78,1,0.43,1
100000,3,-3.0283,-5503.49,2.49219,0.349409,0.2143
200000,2,-4.44484,-5493,5.20148,0.383029,0.2576
300000,4,-6.45049,-5491.15,1.98107,0.363764,0.2691
400000,3,-5.35028,-5484.33,5.42121,0.380726,0.2452
500000,4,-2.78814,-5480.18,2.31475,0.356643,0.2537
600000,3,-1.53138,-5483.47,1.14521,0.375028,0.2545
700000,1,-0.170453,-5499.55,0.649355,0.354517,0.2275
800000,3,-0.892694,-5483.71,1.30263,0.361073,0.2574
900000,3,-2.19312,-5484.14,2.33014,0.368116,0.2305
1000000,2,-0.555371,-5501.53,1.30758,0.377297,0.212
1100000,2,-2.46431,-5493.59,3.21946,0.367062,0.2307
1200000,3,-2.02068,-5489.33,0.574694,0.366066,0.2561
1300000,1,-0.0967453,-5503.73,0.584221,0.377591,0.2146
1400000,3,-1.61816,-5483.25,1.64353,0.36058,0.2532
1500000,4,-4.36899,-5488.79,3.61161,0.370537,0.2354
1600000,4,-5.4221,-5480.96,5.12749,0.366856,0.2561
1700000,3,-0.978943,-5485.82,2.1243,0.367625,0.2593
1800000,0,-0.0570924,-5513.89,0.0570924,0.373286,0.2461
1900000,3,-2.76708,-5484.65,2.28133,0.377297,0.254
2000000,4,-3.56864,-5481.23,2.50097,0.368981,0.267
2100000,2,-1.96516,-5503.36,2.53612,0.375182,0.2252
2200000,4,-2.14199,-5479.22,1.91629,0.379218,0.263
2300000,1,-1.69505,-5504.77,1.98315,0.358478,0.2007
2400000,1,-0.13431,-5503.85,0.50572,0.38344,0.2274
2500000,1,-0.628749,-5500.83,0.979289,0.37147,0.2119
2600000,3,-1.99929,-5486.47,2.40427,0.380049,0.2194
2700000,3,-3.30179,-5486.83,4.19836,0.349332,0.2621
2800000,4,-5.33848,-5485.16,4.17554,0.390921,0.2424
2900000,4,-1.56285,-5482.88,1.55185,0.379496,0.2412
3000000,3,-3.10273,-5482.32,2.94722,0.374518,0.2396
3100000,1,0.0809135,-5501.95,0.336976,0.364076,0.2221
3200000,3,-1.36288,-5482.43,0.688715,0.36055,0.2521
3300000,1,-2.96571,-5500.36,3.43984,0.366991,0.2227
3400000,1,-1.11202,-5500.69,1.47301,0.374079,0.2084
3500000,3,-3.98686,-5483.92,3.60927,0.371088,0.2556
3600000,5,-4.83352,-5479.33,3.25317,0.376526,0.2518
3700000,3,-0.794132,-5482.23,0.860342,0.384356,0.2394
3800000,2,-1.5455,-5495.95,1.01329,0.374459,0.2141
3900000,3,-3.15314,-5484.87,3.15541,0.382955,0.2244
4000000,3,-2.78487,-5489.91,3.56942,0.361276,0.248
4100000,3,-1.60217,-5484.19,2.56943,0.361856,0.2455
4200000,3,-1.87153,-5484.45,1.12197,0.368538,0.2229
4300000,1,-0.0595321,-5502.17,0.417873,0.362923,0.2242
4400000,2,-0.034303,-5497.94,0.421109,0.369648,0.2202
4500000,1,-0.0282399,-5498.65,0.47482,0.373693,0.2119
4600000,3,-2.11563,-5484.28,2.34354,0.370615,0.2519
4700000,3,-1.70745,-5487.13,0.429155,0.364554,0.2578
4800000,3,-0.873965,-5484.61,0.782039,0.352265,0.2402
4900000,3,-1.50326,-5482.63,1.57784,0.37597,0.2505
5000000,1,-0.471976,-5500.03,0.954704,0.359043,0.2257
5100000,3,-1.56047,-5484.4,2.21054,0.362954,0.2416
5200000,4,-2.29672,-5484.52,1.7032,0.372635,0.2458
5300000,3,-5.36334,-5482.86,4.97747,0.367564,0.2475
5400000,3,-0.918908,-5485.83,1.39032,0.378238,0.26
5500000,1,-0.295716,-5504.7,0.693104,0.387324,0.1936
5600000,2,0.0918148,-5497.2,0.640155,0.375088,0.2092
5700000,3,0.0461317,-5485.06,0.521805,0.363609,0.2451
5800000,4,-4.68134,-5489.21,5.82589,0.345661,0.2426
5900000,2,-2.83365,-5500.19,2.39123,0.380725,0.2222
6000000,1,0.18009,-5501.82,0.181389,0.358369,0.2206
6100000,4,-2.42323,-5489.89,1.26959,0.369438,0.2634
6200000,3,-0.179931,-5484.38,0.361975,0.379484,0.2444
6300000,3,-5.22077,-5494.81,4.23549,0.359769,0.2514
6400000,1,-0.746168,-5502.58,1.09249,0.378239,0.206
6500000,2,-0.35391,-5496.07,1.14428,0.373739,0.2353
6600000,4,-1.72402,-5482.67,2.16009,0.377028,0.2524
6700000,1,-0.644077,-5499.81,1.11632,0.365148,0.2366
6800000,0,-0.0498676,-5514.6,0.0498676,0.352185,0.2194
6900000,0,-0.00582795,-5515.23,0.00582795,0.378104,0.2106
7000000,3,-2.77431,-5484.14,3.48486,0.384815,0.2425
7100000,1,-0.842398,-5500.79,1.30209,0.376734,0.2249
7200000,2,-0.99376,-5498.35,0.740016,0.35858,0.2115
7300000,1,-1.27334,-5502.89,1.66007,0.359953,0.2078
7400000,0,-0.345437,-5513.84,0.345437,0.367407,0.2005
7500000,6,-4.07191,-5492.88,3.90522,0.358601,0.2623
7600000,1,0.138244,-5500.31,0.277796,0.366971,0.2173
7700000,1,-1.44694,-5501.98,1.82863,0.374373,0.2094
7800000,4,-0.347804,-5487.72,1.11369,0.371706,0.2668
7900000,4,-2.38262,-5486.07,2.68721,0.369116,0.2589
8000000,1,-0.272623,-5498.91,0.746795,0.36338,0.2303
8100000,1,-0.73052,-5508.94,0.334974,0.363432,0.2234
8200000,3,-4.16635,-5484.92,2.30935,0.355181,0.2527
8300000,5,-2.30019,-5480.6,1.34191,0.347407,0.2474
8400000,0,-0.275354,-5512.94,0.275354,0.370014,0.2211
8500000,4,-3.75908,-5484.86,3.78276,0.355883,0.25
8600000,2,-2.31183,-5497.67,1.92867,0.36589,0.2203
8700000,1,-2.66114,-5502.13,3.03828,0.367953,0.203
8800000,1,-0.778842,-5516.84,0.637891,0.356497,0.2135
8900000,1,-1.87024,-5504.97,2.25583,0.386103,0.2046
9000000,2,-0.460689,-5492.63,1.22362,0.358456,0.2388
9100000,1,-0.299585,-5500.6,0.736754,0.376324,0.2241
9200000,1,-2.67033,-5509.5,3.08111,0.355881,0.2171
9300000,4,-2.79222,-5480.05,2.22287,0.37473,0.2512
9400000,4,-1.53566,-5477.93,2.10172,0.378418,0.2534
9500000,3,-2.02978,-5484.33,1.08472,0.370727,0.2473
9600000,3,-1.31768,-5485.86,1.20255,0.36036,0.2607
9700000,4,-6.07623,-5479.44,6.72995,0.379178,0.2667
9800000,2,-2.99391,-5493.95,3.65109,0.380491,0.2459
9900000,1,-0.250299,-5501.6,0.603463,0.371747,0.2023
10000000,1,-0.872165,-5499.32,1.28563,0.368892,0.243
10100000,3,-1.06413,-5482.08,1.08408,0.379231,0.256
10200000,5,-3.78085,-5481.8,3.64699,0.389445,0.2487
10300000,2,-0.200725,-5492.73,1.03342,0.356119,0.2241
10400000,3,-1.49051,-5498.51,1.56695,0.366932,0.2054
10500000,4,-3.05958,-5479.3,2.18208,0.359674,0.2538
10600000,5,-3.45923,-5483.18,2.54291,0.377412,0.251
10700000,3,-0.417774,-5496.34,1.21122,0.3592,0.2565
10800000,3,-2.38311,-5483.25,2.04834,0.369995,0.2635
10900000,2,-0.240973,-5491.34,0.992487,0.37701,0.2425
11000000,3,-2.03445,-5487.19,2.69506,0.378195,0.2534
11100000,5,-1.72568,-5476.77,3.10986,0.379086,0.2511
11200000,1,-0.50282,-5500.08,0.940171,0.361981,0.2299
11300000,4,-2.9837,-5482.55,2.05293,0.359543,0.2646
11400000,7,-8.21051,-5483.5,5.27737,0.390415,0.2695
11500000,1,-2.01932,-5503.38,2.39988,0.35889,0.2136
11600000,4,-1.75067,-5489.16,2.82667,0.35571,0.2387
11700000,3,-1.27653,-5483.96,1.58165,0.372588,0.2645
11800000,2,-0.708233,-5494.59,1.48725,0.344044,0.2458
11900000,3,-2.52688,-5483.79,1.77233,0.368351,0.2418
