generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Delphinus_delphis,Balaenoptera_borealis,0,0.002,0,0.518572,0
100000,Delphinus_delphis,Balaenoptera_borealis,0,0.177859,0,0.168539,0
100000,Cetotherium_parvum,Kurdalagonus_maicopicum,23.8867,0.739889,0,0.721236,0
100000,Mesoplodon_grayi,Berardius_minimus,16.1815,0.10643,0,0.0294873,0
100000,Phocoena_dioptrica,Neophocaena_asiaeorientalis,28.9998,0.238948,0,0.0281855,0
200000,Delphinus_delphis,Balaenoptera_borealis,0,0.161874,0,0.174967,0
200000,Mesoplodon_grayi,Ninoziphius_platyrostris,10.1259,0.115647,0,0.0695571,0
200000,Delphinus_delphis,Leucopleurus_acutus,21.8031,0.197671,0,0.0770278,0
300000,Delphinus_delphis,Balaenoptera_borealis,0,0.173819,0,0.165541,0
300000,Mesoplodon_grayi,Chavinziphius_maxillocristatus,12.6575,0.990204,0,1.31855,0
300000,Mesoplodon_grayi,Chavinziphius_maxillocristatus,14.4459,0.105316,0,0.0537604,0
300000,Stenella_rayi,Tursiops_brochii,31.1301,1.04251,0,1.37896,0
300000,Delphinus_delphis,Leucopleurus_acutus,21.7435,0.169826,0,0.0649493,0
400000,Delphinus_delphis,Balaenoptera_borealis,0,0.185358,0,0.160034,0
400000,Mesoplodon_grayi,Ninoziphius_platyrostris,10.1842,0.120253,0,0.0867208,0
400000,Stenella_rayi,Tursiops_brochii,31.1189,0.550997,0,0.471945,0
400000,Delphinus_delphis,Leucopleurus_acutus,22.1236,0.160124,0,0.0475509,0
500000,Delphinus_delphis,Balaenoptera_borealis,0,0.185511,0,0.160654,0
500000,Cetotherium_parvum,Kurdalagonus_maicopicum,24.9671,0.571678,0,0.596044,0
500000,Mesoplodon_grayi,Ninoziphius_platyrostris,10.1377,0.108964,0,0.0852549,0
500000,Stenella_rayi,Tursiops_brochii,31.2214,0.31067,0,0.424055,0
