generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
990000,4,-3.06593,-5432.41,4.10905,0.388022,0.2991
1000000,4,-1.55124,-5432.3,2.03292,0.379651,0.3009
1010000,3,-0.619621,-5434.54,1.88226,0.381107,0.3011
1020000,4,-4.02173,-5426.01,2.98594,0.380882,0.2882
1030000,2,-0.596086,-5439.24,1.39635,0.370038,0.276267
1040000,2,0.175523,-5447.62,0.741971,0.349271,0.2657
1050000,4,-3.18813,-5438.16,2.35225,0.369484,0.25344
1060000,4,-2.17965,-5423.04,2.45311,0.383266,0.2639
1070000,3,-0.128684,-5438.86,1.29847,0.385855,0.2697
1080000,4,-1.81316,-5428.74,2.61543,0.382555,0.2628
1090000,3,-3.27287,-5437.28,2.78988,0.391957,0.245086
1100000,2,-2.16385,-5438.12,2.8174,0.378896,0.2451
1110000,6,-4.23516,-5416.86,3.73968,0.380188,0.273733
1120000,3,-0.181052,-5424.96,1.41195,0.371477,0.2585
1130000,4,-0.698796,-5429.92,1.72185,0.360322,0.2679
1140000,4,-2.11236,-5424.14,3.01161,0.36783,0.2687
1150000,4,-2.26711,-5427.18,2.91231,0.400774,0.2746
1160000,3,-1.16475,-5427.19,2.2342,0.371795,0.2532
1170000,4,-2.93453,-5423.74,2.15286,0.379939,0.275
1180000,3,0.452725,-5433.29,0.717189,0.38366,0.2613
1190000,3,-0.387772,-5427.78,1.67867,0.385472,0.2779
1200000,6,-4.00119,-5428.68,2.6861,0.367589,0.265
1210000,3,-0.294935,-5426.81,1.57527,0.389798,0.271636
1220000,3,-0.466319,-5424.42,1.59463,0.370783,0.261
1230000,4,-4.03545,-5425.81,4.99319,0.370353,0.2713
1240000,3,-0.233947,-5428.39,1.4181,0.365803,0.271
1250000,3,-1.3817,-5437.95,1.24633,0.377098,0.27582
1260000,3,-3.38417,-5438.73,3.21042,0.370017,0.262487
1270000,3,0.278372,-5425.21,0.943,0.384902,0.2698
1280000,5,-4.06535,-5420.58,2.46573,0.366315,0.2743
1290000,4,-4.46659,-5430.3,3.28894,0.380062,0.283075
1300000,3,-0.295029,-5429.12,1.52897,0.375421,0.2748
1310000,3,0.263645,-5427.11,0.851484,0.397534,0.2659
1320000,3,-2.50722,-5438.25,2.34789,0.355933,0.296167
1330000,2,-0.423046,-5437.91,1.12819,0.365927,0.259856
1340000,3,-1.33808,-5434.64,1.48554,0.374746,0.277967
1350000,3,-0.092689,-5430.84,1.21403,0.360029,0.273
1360000,3,-0.507651,-5428.98,1.61102,0.367957,0.2535
1370000,3,0.175833,-5426.33,0.978268,0.385845,0.2737
1380000,3,-0.0356051,-5424.71,1.24567,0.378563,0.2853
1390000,4,-2.84915,-5423.38,1.75434,0.391775,0.2713
1400000,5,-3.22809,-5425.78,3.39043,0.384783,0.255514
1410000,3,-0.363419,-5428.23,1.63934,0.374087,0.2783
1420000,4,-1.41939,-5427.45,2.11899,0.395818,0.2766
1430000,3,0.788411,-5423.84,0.472805,0.374978,0.2643
1440000,5,-3.29752,-5417.12,2.17332,0.368898,0.27306
1450000,4,-1.40959,-5422.69,1.44221,0.374919,0.2812
1460000,3,-0.916535,-5425.82,2.16346,0.393098,0.2728
1470000,3,-0.225123,-5428.86,1.43806,0.380057,0.26132
1480000,4,-1.03228,-5427.22,2.00164,0.374125,0.261809
1490000,4,-1.77644,-5423.99,3.32893,0.38214,0.266
1500000,4,-0.575262,-5426.75,1.19385,0.3596,0.27565
1510000,4,-3.54248,-5421.14,3.57861,0.377631,0.26565
1520000,3,-0.597737,-5428.64,1.75884,0.371571,0.2739
1530000,9,-10.0282,-5410.09,7.0006,0.365322,0.277325
1540000,3,-1.55559,-5425.15,2.80153,0.371981,0.2723
