generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,-1,-6977.33,1,0.43,0
50000,1,0.116225,-4007.88,0.161338,0.564942,0.2103
100000,2,-1.75052,-4002.97,1.78949,0.566261,0.22356
150000,1,-1.29317,-4015.69,1.47376,0.562385,0.224125
200000,1,-0.00158392,-4008.81,0.357761,0.581037,0.227075
250000,1,-0.910109,-4008.5,1.17367,0.576591,0.23515
300000,1,-0.399718,-4008.13,0.680476,0.546625,0.230275
350000,2,-2.18392,-4004.61,1.37626,0.556095,0.2236
400000,1,-0.41201,-4007.99,0.716227,0.57968,0.22386
450000,1,-0.819858,-4007.38,1.11681,0.560267,0.214367
500000,1,-1.88285,-4005.96,2.19918,0.571645,0.22572
550000,2,0.038007,-4003.19,0.590463,0.593358,0.2178
600000,1,-1.12611,-4008.01,1.44046,0.582737,0.21285
650000,1,-0.830484,-4009.99,1.16679,0.595262,0.2395
700000,1,-0.861854,-4008.12,1.14827,0.54736,0.217517
750000,1,-2.07336,-4007.92,2.33681,0.572834,0.2237
800000,3,-1.28759,-4001.28,1.07283,0.57757,0.23305
850000,2,-2.04292,-4006.28,2.01535,0.571858,0.2115
900000,1,-0.177097,-4007.06,0.498417,0.565105,0.2061
950000,1,0.243075,-4006.57,0.0837773,0.576623,0.216638
1000000,3,-3.34746,-4007.07,2.90366,0.592343,0.2227
1050000,1,-0.257384,-4006.88,0.541362,0.57008,0.2174
1100000,1,0.104077,-4008.42,0.217653,0.587978,0.230589
1150000,2,0.0607486,-4004.43,0.562365,0.583428,0.227075
1200000,1,-0.504351,-4007.79,0.779216,0.560247,0.2105
1250000,1,-0.00239589,-4009.99,0.311003,0.56899,0.209
1300000,1,-1.25991,-4008.2,1.56763,0.602595,0.22375
1350000,1,-0.80127,-4008.17,1.07436,0.580145,0.2168
1400000,1,0.29682,-4007.96,0.0212653,0.577015,0.22825
1450000,1,0.000265348,-4006.44,0.325092,0.566915,0.2084
1500000,2,-1.89,-4005.92,2.47195,0.560106,0.222921
1550000,1,0.0563668,-4006.78,0.242618,0.564006,0.222944
1600000,1,-0.716168,-4011.75,1.06543,0.552902,0.220318
1650000,1,-1.25277,-4006.44,1.55801,0.566566,0.219167
1700000,2,-3.55847,-4008.28,2.11879,0.581986,0.215567
1750000,1,0.1657,-4007.05,0.0958908,0.570793,0.21815
1800000,2,-1.26436,-4003.86,1.32853,0.588185,0.217775
1850000,3,-0.183506,-3992.39,1.48428,0.591555,0.234033
1900000,2,-0.33634,-4003.13,1.05246,0.601698,0.226367
1950000,1,-0.501771,-4008.16,0.854206,0.567424,0.222033
2000000,2,-0.832837,-4008.28,1.44769,0.583717,0.22
2050000,2,-4.33148,-4004.36,2.59018,0.550592,0.21455
2100000,1,-1.1424,-4007.67,1.46535,0.563799,0.2151
2150000,3,-2.82896,-3999.67,1.68007,0.566467,0.2188
2200000,2,-2.36871,-4002.75,1.36,0.576456,0.23065
2250000,1,-2.28594,-4007.5,2.58467,0.597606,0.2182
