generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
4250000,2,0.515186,-3836.27,0.348306,0.583082,0.2383
4300000,3,-0.536007,-3832.93,1.55407,0.625514,0.2415
4350000,2,-0.523421,-3834.87,1.50968,0.625717,0.2427
4400000,2,-1.80158,-3834.31,2.62472,0.615527,0.241167
4450000,2,0.273628,-3834.23,0.597717,0.587667,0.2275
4500000,2,-0.39876,-3837.48,1.31942,0.607346,0.2313
4550000,2,-1.20066,-3839.01,1.97323,0.607017,0.2534
4600000,2,-0.0384731,-3832.45,0.86718,0.627118,0.2369
4650000,3,-1.33116,-3829.95,1.15054,0.613211,0.240878
4700000,3,-0.500572,-3832.87,0.179856,0.60602,0.23225
4750000,3,-0.56099,-3839.23,1.43719,0.622064,0.236
4800000,2,-1.19049,-3846.51,1.59625,0.5927,0.2111
4850000,2,0.744059,-3832.18,0.133644,0.603622,0.239921
4900000,2,-0.429561,-3836.01,1.21296,0.616144,0.2382
4950000,2,-1.60682,-3834.12,2.43796,0.621243,0.222236
5000000,2,-0.55202,-3834.91,1.49191,0.61622,0.23795
5050000,1,-1.1947,-3844.63,1.56107,0.62223,0.22484
5100000,2,0.464102,-3834.48,0.359926,0.612419,0.2321
5150000,1,-0.510034,-3847.39,0.844938,0.622899,0.223075
5200000,4,-1.76286,-3828.96,0.721517,0.577217,0.243133
5250000,2,-1.27682,-3835,2.30572,0.589156,0.243233
5300000,2,-0.332984,-3833.43,1.31257,0.614903,0.23955
5350000,3,-1.68009,-3832.72,2.47239,0.594697,0.2442
5400000,2,-1.38101,-3832.74,2.37365,0.595935,0.2408
5450000,2,-2.58937,-3837.03,3.48348,0.621734,0.242533
5500000,2,-1.3763,-3834.02,2.23844,0.600698,0.23465
5550000,2,0.455404,-3836.07,0.503817,0.578585,0.239
5600000,2,-0.893644,-3833.67,1.74901,0.636961,0.2528
5650000,3,-1.20175,-3830.36,1.38743,0.620522,0.2385
5700000,2,0.0207422,-3832.3,0.930887,0.616299,0.237467
5750000,4,0.742936,-3836.14,1.08177,0.595362,0.24865
5800000,2,-0.253371,-3833.07,1.11721,0.614423,0.23406
5850000,2,-1.04853,-3833.59,1.85331,0.608885,0.2504
5900000,2,0.231725,-3832.9,0.641848,0.597589,0.2426
5950000,3,-2.37767,-3833.02,1.81947,0.609475,0.2488
6000000,2,-2.15185,-3837.24,2.95473,0.59745,0.2399
6050000,2,-0.334333,-3832.17,1.21779,0.590654,0.2504
6100000,2,-0.651477,-3833.56,1.63069,0.586359,0.245267
6150000,2,0.322729,-3835.81,0.606844,0.577345,0.2404
6200000,1,-0.123885,-3847.41,0.531731,0.583804,0.232206
6250000,3,-0.25147,-3831.55,1.02976,0.609235,0.249533
6300000,3,-0.428865,-3832.48,1.11341,0.604671,0.2464
6350000,2,-2.54562,-3836.73,3.39467,0.609516,0.2332
6400000,3,-0.35039,-3839.77,1.55121,0.573456,0.24085
6450000,2,0.188913,-3836.9,0.807143,0.579701,0.241217
6500000,2,0.181768,-3837.79,0.676898,0.604696,0.24115
6550000,2,-1.78367,-3832.06,2.69757,0.626016,0.243925
6600000,2,0.0927203,-3837.11,0.696646,0.619593,0.2456
6650000,3,-1.75182,-3834.51,2.41132,0.590265,0.25185
6700000,3,-0.289274,-3835.65,1.34581,0.594292,0.24715
6750000,2,-1.82359,-3835.89,2.76942,0.64642,0.2326
6800000,2,-2.14198,-3832.69,2.98002,0.58899,0.23765
6850000,2,-1.45717,-3834.19,2.27387,0.585387,0.238
6900000,2,-0.401454,-3832.35,1.29056,0.619541,0.2366
6950000,1,-0.230821,-3845.37,0.629755,0.63029,0.2101
7000000,2,-1.16275,-3852.3,1.04813,0.584525,0.25425
7050000,2,-2.42898,-3835.6,3.27712,0.589917,0.2418
7100000,2,-3.67547,-3836.16,4.57132,0.617662,0.2491
7150000,2,-1.89119,-3835.95,2.84937,0.657958,0.24
7200000,2,0.380441,-3839.96,0.56699,0.657429,0.23265
7250000,3,-1.17977,-3831.25,2.04789,0.62006,0.2404
7300000,3,-1.1247,-3838.19,1.57728,0.594116,0.255
7350000,2,0.0300237,-3837.48,0.802633,0.615878,0.241967
7400000,2,-1.73313,-3833.29,2.52055,0.615131,0.246067
7450000,2,-0.315653,-3833.15,1.21423,0.618055,0.2466
7500000,2,-1.72718,-3836.38,2.60467,0.645066,0.252533
7550000,2,-1.86697,-3833.02,2.83813,0.608595,0.2468
7600000,2,-0.0440718,-3835.26,0.921519,0.611842,0.2304
7650000,2,-2.38843,-3833.78,3.26574,0.618119,0.2471
7700000,2,-2.56114,-3838.45,3.39425,0.630188,0.2427
7750000,2,-0.117191,-3835.77,0.981249,0.618805,0.2462
7800000,3,-2.73203,-3830.12,4.13656,0.608176,0.239883
7850000,2,-0.768329,-3836.52,1.6865,0.611391,0.2364
7900000,2,-0.243753,-3836.22,1.07307,0.606788,0.2324
7950000,2,-1.18609,-3834.03,2.11597,0.613264,0.2321
8000000,2,0.303402,-3833.88,0.688065,0.607102,0.2522
8050000,3,-2.29654,-3833.68,2.02547,0.587592,0.2399
8100000,2,0.272554,-3833.92,0.585181,0.616022,0.243317
8150000,2,-0.238317,-3834.11,1.19491,0.606417,0.237967
8200000,2,-0.0325521,-3831.56,0.939929,0.599439,0.2475
