generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Delphinus_capensis,Balaenoptera_brydei,0,0.002,0,0.9,0
50000,Delphinus_capensis,Balaenoptera_brydei,0,0.213197,0,0.215305,0
50000,Delphinus_capensis,Mesoplodon_grayi,10.7246,0.169281,0,0.108272,0
100000,Delphinus_capensis,Balaenoptera_brydei,0,0.245728,0,0.197525,0
100000,Mesoplodon_grayi,Choneziphius_liops,11.2935,0.136439,0,0.134861,0
100000,Delphinus_capensis,Eodelphinus_kabatensis,22.9411,0.194765,0,0.0516585,0
150000,Delphinus_capensis,Balaenoptera_brydei,0,0.222098,0,0.197738,0
150000,Delphinus_capensis,Mesoplodon_grayi,10.7514,0.183155,0,0.103561,0
200000,Delphinus_capensis,Balaenoptera_brydei,0,0.233506,0,0.222405,0
200000,Mesoplodon_grayi,Ninoziphius_platyrostris,11.0286,0.16309,0,0.0795437,0
200000,Delphinus_capensis,Leucopleurus_acutus,24.3603,0.173038,0,0.0272683,0
250000,Delphinus_capensis,Balaenoptera_brydei,0,0.23702,0,0.209084,0
250000,Mesoplodon_grayi,Ninoziphius_platyrostris,11.0742,0.166515,0,0.0802563,0
250000,Delphinus_capensis,Orcinus_orca,23.8891,0.149562,0,0.052119,0
300000,Delphinus_capensis,Balaenoptera_brydei,0,0.234719,0,0.213525,0
300000,Delphinus_capensis,Mesoplodon_grayi,10.856,0.150025,0,0.112555,0
350000,Delphinus_capensis,Balaenoptera_brydei,0,0.228632,0,0.198726,0
350000,Mesoplodon_grayi,Ninoziphius_platyrostris,11.131,0.120293,0,0.0705513,0
350000,Delphinus_capensis,Eodelphinus_kabatensis,22.7763,0.19325,0,0.0779082,0
400000,Delphinus_capensis,Balaenoptera_brydei,0,0.235304,0,0.208345,0
400000,Mesoplodon_grayi,Ninoziphius_platyrostris,10.9992,0.162079,0,0.082397,0
400000,Delphinus_capensis,Orcinus_orca,23.395,0.144534,0,0.0182463,0
450000,Delphinus_capensis,Balaenoptera_brydei,0,0.218967,0,0.209419,0
450000,Delphinus_capensis,Mesoplodon_grayi,10.6979,0.17388,0,0.109252,0
500000,Delphinus_capensis,Balaenoptera_brydei,0,0.247238,0,0.23887,0
