generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
7890000,Delphinus_capensis,Eodelphinus_kabatensis,19.85,0.193661,0,0.0247405,0
7900000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.198718,0,0.186703,0
7900000,Delphinus_capensis,Eodelphinus_kabatensis,20.1479,0.223328,0,0.0337589,0
7910000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.214865,0,0.195085,0
7910000,Tohoraata_waitakiensis,Micromysticetus_rothauseni,3.6846,0.540118,0,0.224326,0
7910000,Delphinus_capensis,Orcinus_orca,20.7743,0.185505,0,0.0537188,0
7920000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.209995,0,0.187803,0
7920000,Delphinus_capensis,Orcinus_orca,20.8931,0.176766,0,0.0615612,0
7930000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.208661,0,0.170906,0
7930000,Delphinus_capensis,Eodelphinus_kabatensis,20.5443,0.14291,0,0.057634,0
7940000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.187704,0,0.187544,0
7940000,Delphinus_capensis,Eodelphinus_kabatensis,19.8932,0.194349,0,0.026167,0
7950000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.220593,0,0.208693,0
7950000,Delphinus_capensis,Eodelphinus_kabatensis,19.926,0.203066,0,0.0428219,0
7960000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.218134,0,0.204523,0
7960000,Delphinus_capensis,Eodelphinus_kabatensis,19.8688,0.15724,0,0.0425555,0
7970000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.212704,0,0.187361,0
7970000,Delphinus_capensis,Orcinus_orca,21.0787,0.225483,0,0.0358609,0
7980000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.195278,0,0.19804,0
7980000,Mesoplodon_grayi,Indopacetus_pacificus,24.4434,0.211785,0,0.0485386,0
7980000,Delphinus_capensis,Eodelphinus_kabatensis,20.3508,0.162087,0,0.0320107,0
7990000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.188317,0,0.185105,0
7990000,Delphinus_capensis,Leucopleurus_acutus,21.2021,0.201505,0,0.0335073,0
8000000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.20883,0,0.175798,0
8000000,Delphinus_capensis,Leucopleurus_acutus,21.2106,0.177148,0,0.0388192,0
8010000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.20765,0,0.196184,0
8010000,Mesoplodon_grayi,Chimuziphius_coloradensis,10.3221,0.183895,0,0.116859,0
8010000,Delphinus_capensis,Orcinus_orca,20.9733,0.174463,0,0.069058,0
8020000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.257992,0,0.239421,0
8020000,Mesoplodon_grayi,Tusciziphius_atlanticus,9.19504,0.160215,0,0.0853253,0
8020000,Delphinus_capensis,Eodelphinus_kabatensis,19.5674,0.160692,0,0.0571374,0
8030000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.220914,0,0.187734,0
8030000,Delphinus_capensis,Orcinus_orca,20.9144,0.201927,0,0.0365406,0
8040000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.218971,0,0.217942,0
8040000,Delphinus_capensis,Orcinus_orca,20.7242,0.198156,0,0.0565105,0
8050000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.206133,0,0.172773,0
8050000,Cotylocara_macei,Xenorophidae_indet_ChM_PV4746,5.11408,0.262831,0,0.476039,0
8050000,Delphinus_capensis,Orcinus_orca,20.9102,0.147919,0,0.0269783,0
8060000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.217302,0,0.220386,0
8060000,Delphinus_capensis,Leucopleurus_acutus,21.1935,0.170513,0,0.0345944,0
8070000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.235261,0,0.216669,0
8070000,Ziphirostrum_marginatum,Messapicetus_gregarius,17.8791,0.37241,0,0.2053,0
8070000,Mesoplodon_grayi,Ninoziphius_platyrostris,8.31255,0.124571,0,0.106258,0
8070000,Delphinus_capensis,Eodelphinus_kabatensis,20.4658,0.171432,0,0.0583431,0
8080000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.194833,0,0.182161,0
8080000,Delphinus_capensis,Delphinus_rikuzenensis,27.9216,0.300185,0,0.361509,0
8080000,Delphinus_capensis,Orcinus_orca,20.7086,0.129363,0,0.0211804,0
8090000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.231093,0,0.195144,0
8090000,Pomatodelphis_bobengi,Zarhachis_tysonii,14.2877,0.212027,0,0.276246,0
8090000,Delphinus_capensis,Eodelphinus_kabatensis,20.0918,0.193618,0,0.0393555,0
8100000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.206246,0,0.187718,0
8100000,Delphinus_capensis,Eodelphinus_kabatensis,20.4616,0.137264,0,0.0458128,0
8110000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.201716,0,0.174641,0
8110000,Mesoplodon_grayi,Mesoplodon_densirostris,30.9237,0.307792,0,0.00261752,0
8110000,Delphinus_capensis,Leucopleurus_acutus,21.4562,0.144187,0,0.0403569,0
8120000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.198204,0,0.187798,0
8120000,Delphinus_capensis,Orcinus_orca,20.8536,0.200643,0,0.0343099,0
8130000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.21542,0,0.219943,0
8130000,Delphinus_capensis,Eodelphinus_kabatensis,19.7593,0.205865,0,0.0672653,0
8140000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.209168,0,0.191498,0
8140000,Delphinus_capensis,Orcinus_orca,21.0405,0.205005,0,0.0450964,0
8150000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.188309,0,0.185595,0
8150000,Mesoplodon_grayi,Khoikhoicetus_agulhasis,20.2961,0.237076,0,0.0870328,0
8150000,Delphinus_capensis,Eodelphinus_kabatensis,20.5477,0.143855,0,0.0263087,0
8160000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.229776,0,0.217145,0
8160000,Balaenoptera_acutorostrata,Balaenopteridae_indet_NMNZ_MM001630,26.1826,0.274761,0,0.483134,0
8160000,Mesoplodon_grayi,Chimuziphius_coloradensis,11.1599,0.195596,0,0.086668,0
8160000,Delphinus_capensis,Orcinus_orca,20.6872,0.145964,0,0.0203814,0
8170000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.199248,0,0.174667,0
8170000,Delphinus_capensis,Delphinus_rikuzenensis,29.2535,0.615711,0,0.0781695,0
8170000,Delphinus_capensis,Eodelphinus_kabatensis,20.3457,0.167393,0,0.0570144,0
8180000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.214281,0,0.189068,0
8180000,Delphinus_capensis,Orcinus_orca,20.7435,0.153192,0,0.0358697,0
8190000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.227083,0,0.189257,0
8190000,Delphinus_capensis,Eodelphinus_kabatensis,20.0215,0.145616,0,0.0417921,0
8200000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.226539,0,0.202944,0
8200000,Delphinus_capensis,Orcinus_orca,21.0945,0.15856,0,0.0381638,0
8210000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.205244,0,0.197948,0
8210000,Delphinus_capensis,Orcinus_orca,20.9744,0.206567,0,0.0859296,0
8220000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.18093,0,0.174273,0
8220000,Mesoplodon_grayi,Khoikhoicetus_agulhasis,19.9346,0.185185,0,0.0852355,0
8220000,Delphinus_capensis,Eodelphinus_kabatensis,20.0152,0.164028,0,0.059312,0
8230000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.205439,0,0.183575,0
8230000,Delphinus_capensis,Orcinus_orca,21.0038,0.137009,0,0.0318356,0
8240000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.213527,0,0.175246,0
8240000,Tohoraata_waitakiensis,Micromysticetus_rothauseni,5.51512,1.0858,0,1.00188,0
8240000,Delphinus_capensis,Eodelphinus_kabatensis,20.4386,0.188914,0,0.0423945,0
8250000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.215971,0,0.197444,0
8250000,Delphinus_capensis,Eodelphinus_kabatensis,20.2461,0.237548,0,0.0606082,0
8260000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.209309,0,0.184014,0
8260000,Delphinus_capensis,Orcinus_orca,20.7187,0.151345,0,0.0251911,0
8270000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.205209,0,0.19563,0
8270000,Delphinus_capensis,Eodelphinus_kabatensis,20.3071,0.212873,0,0.0536393,0
8280000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.206076,0,0.1793,0
8280000,Delphinus_capensis,Orcinus_orca,20.9164,0.193033,0,0.0465009,0
8290000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.225701,0,0.215181,0
8290000,Mesoplodon_grayi,Mesoplodon_hotaula,26.3233,0.200215,0,0.0425271,0
8290000,Delphinus_capensis,Orcinus_orca,20.6935,0.14595,0,0.0536915,0
8300000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.222533,0,0.216493,0
8300000,Delphinus_capensis,Eodelphinus_kabatensis,20.4809,0.268011,0,0.0654376,0
8310000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.194083,0,0.186971,0
8310000,Mesoplodon_grayi,Khoikhoicetus_agulhasis,20.1305,0.273273,0,0.0414599,0
8310000,Delphinus_capensis,Eodelphinus_kabatensis,20.2123,0.197343,0,0.0443574,0
8320000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.207776,0,0.17817,0
8320000,Delphinus_capensis,Eodelphinus_kabatensis,20.4614,0.154842,0,0.0336907,0
8330000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.199702,0,0.175688,0
8330000,Delphinus_capensis,Eodelphinus_kabatensis,20.0102,0.160118,0,0.0496857,0
8340000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.205757,0,0.185679,0
8340000,Delphinus_capensis,Orcinus_orca,21.097,0.171018,0,0.0560711,0
8350000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.21734,0,0.181524,0
8350000,Delphinus_capensis,Albireo_savagei,18.7279,0.197975,0,0.061137,0
8360000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.201989,0,0.174673,0
8360000,Mesoplodon_grayi,Tusciziphius_atlanticus,9.08827,0.140782,0,0.0692135,0
8360000,Delphinus_capensis,Orcinus_orca,20.7419,0.145155,0,0.0698711,0
8370000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.198597,0,0.172725,0
8370000,Delphinus_capensis,Eodelphinus_kabatensis,20.0025,0.195266,0,0.0240932,0
8380000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.221596,0,0.217057,0
8380000,Mesoplodon_grayi,Tusciziphius_atlanticus,9.41229,0.157526,0,0.126537,0
8380000,Delphinus_capensis,Orcinus_orca,20.8569,0.179991,0,0.0242961,0
8390000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.211558,0,0.177822,0
8390000,Delphinus_capensis,Leucopleurus_acutus,21.212,0.173726,0,0.06161,0
8400000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.20781,0,0.197614,0
8400000,Delphinus_capensis,Orcinus_orca,21.1051,0.168906,0,0.0550915,0
8410000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.193363,0,0.179366,0
8410000,Delphinus_capensis,Eodelphinus_kabatensis,19.7722,0.145684,0,0.0277199,0
8420000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.207496,0,0.185636,0
8420000,Delphinus_capensis,Delphinus_rikuzenensis,24.907,0.370563,0,0.339777,0
8420000,Delphinus_capensis,Leucopleurus_acutus,21.3689,0.129347,0,0.0293834,0
8430000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.214779,0,0.176741,0
8430000,Delphinus_capensis,Orcinus_orca,20.952,0.187587,0,0.0686024,0
8440000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.201122,0,0.188913,0
8440000,Mesoplodon_grayi,Microberardius_africanus,14.8317,0.1676,0,0.0668631,0
8440000,Delphinus_capensis,Eodelphinus_kabatensis,20.5837,0.149608,0,0.0223147,0
8450000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.233434,0,0.240207,0
8450000,Mesoplodon_grayi,Ninoziphius_platyrostris,8.36893,0.155348,0,0.12036,0
8450000,Delphinus_capensis,Orcinus_orca,20.7588,0.199407,0,0.0206892,0
8460000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.214482,0,0.201725,0
8460000,Mesoplodon_grayi,Chimuziphius_coloradensis,10.0845,0.161567,0,0.118219,0
8460000,Delphinus_capensis,Eodelphinus_kabatensis,20.3674,0.185181,0,0.0369556,0
8470000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.208924,0,0.189266,0
8470000,Delphinus_capensis,Leucopleurus_acutus,21.4602,0.16192,0,0.0418196,0
8480000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.20001,0,0.17792,0
8480000,Delphinus_capensis,Eodelphinus_kabatensis,19.7842,0.174194,0,0.0724827,0
8490000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.211806,0,0.203475,0
8490000,Delphinus_capensis,Orcinus_orca,20.7166,0.230574,0,0.0376898,0
8500000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.220456,0,0.223255,0
8500000,Mesoplodon_grayi,Microberardius_africanus,15.9751,0.166369,0,0.10743,0
8500000,Delphinus_capensis,Eodelphinus_kabatensis,19.777,0.155048,0,0.0396575,0
8510000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.210546,0,0.17588,0
8510000,Delphinus_capensis,Delphinus_rikuzenensis,29.1788,0.945621,0,0.281688,0
8510000,Delphinus_capensis,Leucopleurus_acutus,21.3535,0.159658,0,0.0394731,0
8520000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.215333,0,0.201814,0
8520000,Balaenoptera_acutorostrata,Balaenoptera_siberi,20.5368,0.221216,0,0.125487,0
8520000,Ziphirostrum_marginatum,Messapicetus_gregarius,16.1029,0.441402,0,0.557605,0
8520000,Mesoplodon_grayi,Ninoziphius_platyrostris,8.55329,0.154901,0,0.0804368,0
8520000,Delphinus_capensis,Eodelphinus_kabatensis,20.5842,0.173911,0,0.0398184,0
8530000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.197089,0,0.189076,0
8530000,Delphinus_capensis,Eodelphinus_kabatensis,20.2796,0.16425,0,0.0622418,0
8540000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.20152,0,0.191518,0
8540000,Delphinus_capensis,Eodelphinus_kabatensis,20.0266,0.158315,0,0.0670013,0
8550000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.2019,0,0.191898,0
8550000,Mesoplodon_grayi,Ihlengesi_saldanhae,23.1127,0.265495,0,0.0416244,0
8550000,Delphinus_capensis,Eodelphinus_kabatensis,19.7957,0.207928,0,0.0324958,0
8560000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.214304,0,0.205132,0
8560000,Mesoplodon_grayi,Microberardius_africanus,15.8908,0.202862,0,0.110322,0
8560000,Stenella_longirostris,Tursiops_truncatus,27.755,0.233459,0,0.142346,0
8560000,Delphinus_capensis,Orcinus_orca,20.8528,0.149785,0,0.0423028,0
8570000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.186243,0,0.176615,0
8570000,Delphinus_capensis,Orcinus_orca,20.7305,0.177304,0,0.0480539,0
8580000,Delphinus_capensis,Balaenoptera_acutorostrata,0,0.206909,0,0.186764,0
8580000,Tohoraata_waitakiensis,Micromysticetus_rothauseni,4.85794,0.226387,0,0.366946,0
