generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,1,-0.542319,-9782.01,1,0.43,1
10000,0,-0.425563,-5686.08,0.425563,0.335651,0.2121
20000,0,-0.0854672,-5685.63,0.0854672,0.367338,0.2124
30000,0,-0.566379,-5684.75,0.566379,0.35835,0.220593
40000,0,-0.787073,-5684.55,0.787073,0.351415,0.2288
50000,2,-1.25143,-5675.89,0.930521,0.344764,0.239867
60000,2,-2.93353,-5666.7,1.63893,0.340605,0.2863
70000,1,-0.132182,-5676.22,0.556582,0.339628,0.2789
80000,2,-0.273496,-5671.51,1.0942,0.343182,0.244225
90000,2,-1.35344,-5679.15,0.564735,0.355467,0.2488
100000,1,0.109992,-5675.05,0.31662,0.345769,0.2342
110000,0,-0.053283,-5684.29,0.053283,0.350265,0.225067
120000,2,0.242994,-5669.25,0.600886,0.353804,0.2665
130000,0,-0.115069,-5687.7,0.115069,0.34464,0.2311
140000,1,-0.616703,-5683.47,0.889508,0.353985,0.22545
150000,0,-0.160432,-5685.3,0.160432,0.341539,0.2466
160000,1,-0.310241,-5676.02,0.672385,0.353598,0.2122
170000,0,-0.906334,-5684.49,0.906334,0.35434,0.232625
180000,2,-4.08794,-5665.12,2.87766,0.35062,0.2542
190000,2,-3.93231,-5667.71,2.4486,0.348425,0.2667
200000,0,-0.126819,-5685.16,0.126819,0.34778,0.239775
210000,0,-0.214072,-5684.21,0.214072,0.348853,0.209
220000,0,-0.917968,-5686.33,0.917968,0.343276,0.2154
230000,1,0.356744,-5682.88,0.138414,0.353486,0.2085
240000,1,-0.38997,-5679.38,0.924865,0.363019,0.22656
250000,0,-0.73805,-5684.68,0.73805,0.353596,0.2157
260000,2,-1.08049,-5677.75,1.33512,0.34584,0.240133
270000,1,-0.721963,-5674.94,1.15416,0.352247,0.2216
280000,0,-0.375414,-5684.81,0.375414,0.348075,0.2186
290000,0,-0.12442,-5686.79,0.12442,0.349833,0.2131
300000,0,-1.08586,-5685.66,1.08586,0.349757,0.2119
310000,0,-2.97898,-5686.51,2.97898,0.353705,0.2151
320000,0,-0.78871,-5687.33,0.78871,0.364392,0.2199
330000,0,-0.851763,-5688.67,0.851763,0.336964,0.213367
340000,0,-0.107107,-5685.9,0.107107,0.350759,0.21305
350000,0,-0.247097,-5685.33,0.247097,0.34626,0.20905
360000,2,0.51434,-5668.82,0.460306,0.350771,0.2516
370000,0,-0.627262,-5684.65,0.627262,0.353266,0.229467
380000,2,-1.07122,-5668.52,1.13931,0.355347,0.2696
390000,3,-3.63607,-5669.46,3.72804,0.347538,0.22395
400000,0,-0.350031,-5684.76,0.350031,0.34372,0.22085
410000,0,-0.424138,-5684.35,0.424138,0.354476,0.2326
420000,0,-0.365454,-5684.55,0.365454,0.3582,0.2188
430000,0,-0.597683,-5685.32,0.597683,0.34881,0.2455
440000,0,-0.0179785,-5684.93,0.0179785,0.339855,0.2062
450000,0,-0.545437,-5684.48,0.545437,0.354774,0.22524
460000,2,-2.19462,-5672.66,2.27451,0.359543,0.2422
470000,1,0.0604492,-5681.94,0.0301167,0.350122,0.22795
480000,2,-2.10213,-5665.4,0.386757,0.353485,0.24655
490000,2,-2.62035,-5668.8,2.31361,0.372577,0.2608
500000,3,-1.76991,-5666.79,2.32208,0.345552,0.288
510000,3,-2.61143,-5670.54,2.55609,0.332104,0.2838
520000,0,-0.402742,-5684.62,0.402742,0.34552,0.237775
530000,0,-0.652159,-5688.08,0.652159,0.349538,0.225
540000,2,-0.285481,-5677.26,1.09286,0.344376,0.238533
550000,1,-0.862977,-5677.47,1.26038,0.347996,0.2429
560000,1,-0.135302,-5677.75,0.612643,0.349465,0.226567
570000,1,-0.206401,-5679.25,0.72286,0.351229,0.2588
580000,2,-1.201,-5674.55,0.78596,0.358088,0.2274
590000,1,-0.692257,-5678.61,1.1087,0.338083,0.2381
600000,0,-0.311134,-5684.9,0.311134,0.351863,0.23825
610000,0,-0.631551,-5686.15,0.631551,0.335522,0.22005
620000,1,-0.324992,-5678.07,0.816599,0.364426,0.22765
630000,2,-0.608222,-5673.56,0.384962,0.347612,0.2543
640000,2,-0.914195,-5671.6,0.964439,0.35853,0.2542
650000,1,-0.633138,-5685.16,0.693599,0.351133,0.2417
660000,0,-0.398492,-5685.8,0.398492,0.363588,0.2205
670000,2,-4.84094,-5669.95,2.35472,0.347491,0.2149
680000,0,-1.58662,-5684.62,1.58662,0.357983,0.21995
690000,0,-0.574397,-5688.07,0.574397,0.377771,0.24855
700000,2,-0.55914,-5669.83,1.50336,0.357399,0.2478
710000,1,-0.945842,-5678.32,1.35993,0.366433,0.2725
720000,0,-0.00658871,-5685.71,0.00658871,0.335349,0.2615
730000,1,-2.02064,-5683.8,2.51313,0.339248,0.2155
740000,1,-1.0962,-5678.53,1.60516,0.343027,0.2395
750000,2,-1.5498,-5676.64,1.43805,0.343998,0.2412
760000,1,-3.76273,-5682.31,1.44627,0.356617,0.2264
770000,0,-0.313716,-5684.48,0.313716,0.351034,0.237025
780000,0,-0.25782,-5686.45,0.25782,0.338361,0.2144
790000,1,0.220081,-5677.79,0.137523,0.353907,0.217367
800000,4,-2.27494,-5664.11,2.16546,0.341648,0.23075
810000,3,-2.12461,-5659.9,0.798452,0.354762,0.25225
820000,2,-2.31152,-5667.11,1.97459,0.352659,0.2748
830000,3,-1.58486,-5672.52,1.53431,0.340123,0.2763
840000,0,-0.00667609,-5684.35,0.00667609,0.348618,0.226267
850000,3,-2.68117,-5661.59,1.20086,0.360112,0.25695
860000,0,-0.27401,-5686.31,0.27401,0.332958,0.22475
870000,1,-0.537569,-5676,1.00216,0.351566,0.2449
880000,1,0.308268,-5680.06,0.0790852,0.3494,0.2626
890000,1,0.248306,-5680.75,0.315199,0.344162,0.212
900000,1,-0.122228,-5677.98,0.478947,0.346601,0.239225
910000,3,-1.85106,-5661.48,2.51991,0.351206,0.2577
920000,1,-1.0977,-5682.47,1.55113,0.381586,0.2631
930000,1,0.107183,-5680.31,0.3102,0.33538,0.22395
940000,0,-1.09597,-5684.47,1.09597,0.343834,0.2377
950000,0,-0.0472586,-5686.11,0.0472586,0.355522,0.2239
960000,3,-0.410782,-5674.19,1.08336,0.331076,0.22715
970000,1,-0.54905,-5676.57,1.12976,0.35852,0.259
980000,1,-1.30265,-5686.45,0.976842,0.338181,0.229167
990000,0,-0.0674455,-5685.51,0.0674455,0.338087,0.203
1000000,2,-1.78961,-5676.09,1.55902,0.346956,0.226467
1010000,0,-0.414719,-5690.23,0.414719,0.339573,0.2335
1020000,1,-0.803276,-5682.18,0.560794,0.353947,0.2143
1030000,0,-0.650426,-5687.09,0.650426,0.342607,0.229375
1040000,0,-0.0758741,-5685.53,0.0758741,0.337549,0.2073
