generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,-1,-6977.33,1,0.43,0
50000,3,-0.494225,-3992.47,1.66336,0.596338,0.26385
100000,1,-0.792197,-4012.16,1.04363,0.551909,0.2209
150000,1,-1.39959,-4011.57,1.74406,0.610416,0.22645
200000,2,-1.36383,-4002.85,0.797095,0.586178,0.2058
250000,1,-0.17951,-4008.71,0.477404,0.565325,0.21728
300000,1,-1.31172,-4007.73,1.61006,0.55591,0.215675
350000,1,-0.54646,-4009.97,0.871717,0.611471,0.2204
400000,2,-0.80562,-4006.41,0.779914,0.558137,0.2158
450000,1,-0.248794,-4010.15,0.515099,0.580576,0.221867
500000,1,-0.00325566,-4007.01,0.269001,0.571832,0.2035
550000,2,-1.65556,-4007.73,1.9156,0.569419,0.220633
600000,1,-0.731966,-4014.9,0.986999,0.537308,0.215433
650000,1,-1.10762,-4007.54,1.41511,0.580436,0.2192
700000,1,0.193159,-4007.52,0.117225,0.566776,0.2039
750000,1,0.179124,-4007.09,0.0982727,0.571276,0.225733
800000,1,-0.594527,-4011.11,0.854214,0.568452,0.201
850000,2,-0.33133,-4007.17,0.504124,0.585788,0.217967
900000,1,0.215998,-4008.13,0.0780612,0.565631,0.23555
950000,1,-0.428594,-4006.77,0.728926,0.564025,0.21075
1000000,2,-0.984331,-4005.69,0.752269,0.560521,0.2157
1050000,1,-2.03777,-4008.17,2.3594,0.557067,0.218525
1100000,1,-1.8286,-4006.74,2.12947,0.58014,0.2265
1150000,3,-3.55128,-4004.37,3.71947,0.56721,0.2136
1200000,1,-0.593422,-4007.15,0.920135,0.58642,0.221646
1250000,3,-0.875814,-3994.92,2.06454,0.560614,0.2295
1300000,3,-1.65517,-4002.03,1.74387,0.590758,0.2381
1350000,1,-2.15519,-4006.61,2.47473,0.5853,0.2317
1400000,1,-0.731966,-4007.06,1.02587,0.576543,0.217633
1450000,2,-0.646594,-4004.45,1.17972,0.552219,0.225967
1500000,1,-0.743334,-4010.1,1.11447,0.579063,0.2083
1550000,1,-1.14757,-4011.75,1.44987,0.569293,0.218467
1600000,1,-0.0962698,-4007.07,0.435988,0.582051,0.2157
1650000,2,-2.36166,-4007.85,2.53547,0.598132,0.2052
1700000,3,-3.51334,-4001.19,2.86505,0.591143,0.23945
1750000,2,-1.54961,-4006.59,1.04846,0.586078,0.22085
1800000,2,-0.0814883,-4005.81,0.846996,0.557022,0.2152
1850000,2,-2.45285,-4007.88,1.65089,0.58709,0.221875
1900000,1,-0.98456,-4010.04,1.2875,0.598074,0.2151
1950000,3,-4.10324,-3995.59,4.14073,0.568691,0.222959
2000000,1,-0.739756,-4007.79,1.02919,0.567475,0.2241
2050000,1,-1.07565,-4007.47,1.35952,0.569903,0.2108
2100000,4,-3.82836,-3995.82,4.22081,0.575898,0.2225
2150000,1,-0.919198,-4009.3,1.16929,0.6035,0.2155
2200000,1,-2.37246,-4009.26,2.67289,0.600974,0.22215
2250000,1,-0.276003,-4010.23,0.537706,0.580561,0.21925
2300000,1,-2.0696,-4010.56,2.32429,0.589069,0.2239
2350000,1,-0.858534,-4006.98,1.17698,0.592222,0.22375
2400000,1,-0.511436,-4014.03,0.848297,0.611666,0.221329
2450000,1,-0.615517,-4007.02,0.929626,0.599839,0.2217
2500000,1,-1.65058,-4010.3,1.9816,0.549979,0.2197
2550000,2,-0.636329,-4004.23,0.457763,0.559613,0.22135
2600000,2,-0.743018,-4003.35,1.52784,0.597553,0.236
2650000,1,-0.182061,-4007.57,0.505475,0.577719,0.217967
2700000,1,-0.28463,-4006.3,0.596907,0.578698,0.2177
2750000,2,-1.72788,-4006.58,1.61438,0.56913,0.21778
2800000,2,-0.401254,-4001.31,1.13587,0.580615,0.229515
2850000,1,-2.49514,-4006.86,2.79985,0.571491,0.2262
2900000,2,-1.34776,-4003.61,1.98841,0.56416,0.24456
2950000,1,-1.04896,-4006.37,1.33741,0.566013,0.209
3000000,1,-1.49904,-4006.94,1.80948,0.560636,0.226567
3050000,3,-0.4282,-3998.69,0.716029,0.575041,0.2234
3100000,1,-0.418475,-4007.41,0.719302,0.554762,0.221
3150000,1,-0.0300743,-4007.51,0.278746,0.575405,0.222983
3200000,2,-0.386321,-4011.29,0.501393,0.562993,0.224342
3250000,2,-0.737641,-4005.14,0.407385,0.565549,0.224511
3300000,1,-0.745618,-4009.86,1.07138,0.605014,0.21785
3350000,4,-4.16475,-3994.38,2.82601,0.567979,0.229
3400000,1,0.151183,-4007.51,0.166207,0.580396,0.2334
3450000,1,-0.473592,-4007.15,0.764807,0.576348,0.234636
3500000,1,-0.90141,-4007.39,1.17286,0.594021,0.2225
3550000,2,-0.437489,-4007.48,0.993223,0.568354,0.2067
3600000,1,-0.686914,-4010.35,1.01462,0.581146,0.238458
3650000,3,-3.18092,-4004.89,1.29957,0.586415,0.2165
3700000,1,0.116921,-4010.12,0.213155,0.553872,0.221271
3750000,1,-1.19039,-4008.67,1.47745,0.576549,0.2161
3800000,2,-2.60893,-4005.3,2.70145,0.572862,0.2149
3850000,1,0.0106225,-4006.71,0.295836,0.585986,0.2195
3900000,1,-0.896915,-4012.35,1.21282,0.524708,0.2144
3950000,2,-0.722349,-4007.48,1.01713,0.58237,0.2108
4000000,1,-0.62094,-4006.8,0.942904,0.57066,0.213
4050000,1,0.317481,-4007.95,0.0293341,0.587617,0.2143
4100000,1,-0.650072,-4008.07,0.909047,0.57963,0.219567
4150000,4,-3.07439,-3997.39,3.10783,0.571461,0.225433
4200000,4,0.123032,-3995.2,1.09909,0.558782,0.2532
4250000,2,-1.44677,-4007.26,1.40866,0.567391,0.2177
4300000,1,-0.121219,-4007.22,0.449924,0.565436,0.2131
4350000,1,-1.10509,-4006.68,1.42083,0.557806,0.2199
4400000,1,0.116282,-4008.1,0.205129,0.601105,0.2179
4450000,1,-1.53818,-4008.57,1.8407,0.589326,0.21685
4500000,2,-3.59715,-4005.47,2.12751,0.585217,0.22215
4550000,1,-0.744136,-4008.74,1.04344,0.57102,0.21584
4600000,2,-2.0393,-4010.47,1.82498,0.546219,0.2207
4650000,2,-2.13544,-4006.11,1.93153,0.552049,0.2138
4700000,2,-1.29397,-4008.5,1.51948,0.572501,0.2218
