generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
5450000,Delphinus_capensis,Indopacetus_pacificus,9.27125,0.16726,0,0.0974165,0
5500000,Delphinus_capensis,Balaenoptera_brydei,0,0.247561,0,0.215496,0
5500000,Delphinus_capensis,Indopacetus_pacificus,9.43773,0.198258,0,0.113519,0
5550000,Delphinus_capensis,Balaenoptera_brydei,0,0.262103,0,0.259827,0
5550000,Delphinus_capensis,Indopacetus_pacificus,9.41434,0.182701,0,0.0812048,0
5600000,Delphinus_capensis,Balaenoptera_brydei,0,0.254259,0,0.251788,0
5600000,Haborophocoena_minutus,Semirostrum_ceruttii,27.4087,0.218041,0,0.260913,0
5600000,Delphinus_capensis,Indopacetus_pacificus,9.24538,0.172417,0,0.115945,0
5650000,Delphinus_capensis,Balaenoptera_brydei,0,0.253693,0,0.231189,0
5650000,Delphinus_capensis,Indopacetus_pacificus,9.53712,0.166475,0,0.111172,0
5700000,Delphinus_capensis,Balaenoptera_brydei,0,0.298465,0,0.279081,0
5700000,Delphinus_capensis,Indopacetus_pacificus,9.26838,0.185556,0,0.119495,0
5750000,Delphinus_capensis,Balaenoptera_brydei,0,0.227403,0,0.219816,0
5750000,Delphinus_capensis,Indopacetus_pacificus,9.61892,0.16783,0,0.115956,0
5800000,Delphinus_capensis,Balaenoptera_brydei,0,0.281731,0,0.251012,0
5800000,Haborophocoena_minutus,Semirostrum_ceruttii,30.5383,0.764637,0,0.763612,0
5800000,Delphinus_capensis,Indopacetus_pacificus,9.64646,0.161451,0,0.116462,0
5850000,Delphinus_capensis,Balaenoptera_brydei,0,0.262129,0,0.256098,0
5850000,Globicephala_melas,Orcaella_brevirostris,27.559,0.218194,0,0.0504853,0
5850000,Delphinus_capensis,Orcinus_orca,22.1671,0.142003,0,0.0445496,0
5850000,Delphinus_capensis,Hadrodelphis_poseidon,15.7877,0.266057,0,0.224541,0
5850000,Delphinus_capensis,Indopacetus_pacificus,9.48292,0.11654,0,0.0995921,0
5900000,Delphinus_capensis,Balaenoptera_brydei,0,0.269629,0,0.227785,0
5900000,Delphinus_capensis,Indopacetus_pacificus,9.64779,0.194106,0,0.10823,0
5950000,Delphinus_capensis,Balaenoptera_brydei,0,0.243129,0,0.226725,0
5950000,Parietobalaena_palmeri,Parietobalaena_securis,15.8878,0.240925,0,0.4812,0
5950000,Phocoena_phocoena,Phocoena_sinus,32.5107,0.128628,0,0.0767629,0
5950000,Phocoena_phocoena,Pterophocaena_nishinoi,24.7107,0.641143,0,0.449753,0
5950000,Delphinus_capensis,Indopacetus_pacificus,9.46037,0.165443,0,0.0865144,0
