generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Delphinus_capensis,Eschrichtius_robustus,0,0.00276012,0,0.9,0
50000,Delphinus_capensis,Eschrichtius_robustus,0,0.22213,0,0.238891,0
50000,Mesoplodon_bidens,Ninoziphius_platyrostris,11.128,0.128785,0,0.0956238,0
50000,Delphinus_capensis,Cephalorhynchus_commersoni,28.826,0.311854,0,0.0363052,0
100000,Delphinus_capensis,Eschrichtius_robustus,0,0.232164,0,0.231733,0
100000,Herpetocetus_morrowi,Herpetocetus_sp_VMW_65,31.5559,0.693655,0,0.788398,0
100000,Mesoplodon_bidens,Ninoziphius_platyrostris,11.1187,0.11627,0,0.0777378,0
100000,Delphinus_capensis,Eodelphinus_kabatensis,24.3546,0.321235,0,0.0443219,0
150000,Delphinus_capensis,Eschrichtius_robustus,0,0.272207,0,0.258494,0
150000,Mesoplodon_bidens,Ninoziphius_platyrostris,11.2374,0.104307,0,0.103571,0
150000,Delphinus_capensis,Cephalorhynchus_commersoni,28.2872,0.326509,0,0.0343136,0
200000,Delphinus_capensis,Eschrichtius_robustus,0,0.273366,0,0.23048,0
200000,Balaenoptera_brydei,Balaenoptera_musculus,31.6086,0.279039,0,0.0903956,0
200000,Mesoplodon_bidens,Ninoziphius_platyrostris,11.314,0.141143,0,0.0968209,0
200000,Delphinus_capensis,Leucopleurus_acutus,28.028,0.486088,0,0.235544,0
200000,Delphinus_capensis,Odontoceti_indet_CCNHM_1000,3.12401,0.233792,0,0.214405,0
250000,Delphinus_capensis,Eschrichtius_robustus,0,0.271787,0,0.254951,0
250000,Delphinus_capensis,Eodelphinus_kabatensis,23.9477,0.233989,0,0.0313581,0
250000,Delphinus_capensis,Mesoplodon_bidens,10.6225,0.157213,0,0.171439,0
300000,Delphinus_capensis,Eschrichtius_robustus,0,0.2535,0,0.241072,0
300000,Mithridatocetus_adygeicus,Ciuciulea_davidi,21.0246,0.440036,0,0.506419,0
300000,Mesoplodon_bidens,Ninoziphius_platyrostris,11.338,0.121151,0,0.0815064,0
300000,Delphinus_capensis,Orcinus_orca,26.879,0.338419,0,0.0579577,0
350000,Delphinus_capensis,Eschrichtius_robustus,0,0.246859,0,0.223504,0
350000,Mesoplodon_bidens,Ninoziphius_platyrostris,11.3233,0.132527,0,0.118275,0
350000,Delphinus_capensis,Orcinus_orca,27.6191,0.313183,0,0.0195619,0
400000,Delphinus_capensis,Eschrichtius_robustus,0,0.258245,0,0.251381,0
400000,Herpetocetus_morrowi,Nannocetus_eremus,28.0735,0.343966,0,0.645904,0
400000,Mesoplodon_bidens,Ninoziphius_platyrostris,11.1515,0.0843503,0,0.0685094,0
400000,Delphinus_capensis,Cephalorhynchus_commersoni,28.167,0.296014,0,0.0280413,0
450000,Delphinus_capensis,Eschrichtius_robustus,0,0.262655,0,0.245947,0
450000,Balaenoptera_acutorostrata,Fragilicetus_velponi,27.7306,0.31397,0,0.0904408,0
450000,Mesoplodon_bidens,Ninoziphius_platyrostris,11.1209,0.121054,0,0.0919726,0
450000,Delphinus_capensis,Eodelphinus_kabatensis,26.325,0.272713,0,0.0901483,0
500000,Delphinus_capensis,Eschrichtius_robustus,0,0.278817,0,0.278762,0
500000,Delphinus_capensis,Orcinus_orca,26.7624,0.207477,0,0.0382178,0
500000,Delphinus_capensis,Albireo_whistleri,20.8865,0.22918,0,0.127052,0
500000,Delphinus_capensis,Mesoplodon_bidens,10.9836,0.100817,0,0.0943852,0
550000,Delphinus_capensis,Eschrichtius_robustus,0,0.274091,0,0.258101,0
550000,Herpetocetus_morrowi,Herentalia_nigra,23.0124,0.668396,0,0.495519,0
550000,Mesoplodon_bidens,Ninoziphius_platyrostris,11.1179,0.139173,0,0.0582042,0
550000,Delphinus_capensis,Orcinus_orca,27.1303,0.391367,0,0.0539693,0
600000,Delphinus_capensis,Eschrichtius_robustus,0,0.277864,0,0.225877,0
