generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,-1,-5827.92,1,0.43,1
50000,2,-0.645338,-3383.18,1.34174,0.627355,0.2688
100000,3,-2.69197,-3377.78,1.99955,0.602963,0.264197
150000,2,-0.0417327,-3385.14,0.743819,0.633193,0.277409
200000,4,-0.425454,-3388.38,0.889967,0.592859,0.268
250000,2,-1.52493,-3392.47,2.18987,0.633156,0.27625
300000,3,-1.88954,-3375.84,1.92574,0.621413,0.26915
350000,2,-0.409198,-3382.96,1.08948,0.583596,0.266433
400000,3,-2.33742,-3387.11,2.4892,0.56577,0.249833
450000,3,-1.72558,-3385.07,2.59183,0.617081,0.27065
500000,3,-0.671966,-3389.03,1.80722,0.619488,0.255867
550000,3,-4.11862,-3384.34,3.7713,0.63616,0.2659
600000,2,-1.53796,-3385.9,2.24217,0.647526,0.2779
650000,2,0.121058,-3385.77,0.423655,0.615921,0.257067
700000,3,-3.78553,-3388.27,2.9114,0.65024,0.267
750000,4,-2.32323,-3378.3,2.11295,0.630198,0.26944
800000,2,-1.08438,-3386.54,1.72283,0.655589,0.2771
850000,2,-0.940714,-3381.67,1.60273,0.612488,0.276867
900000,4,0.565187,-3379.3,0.795916,0.598737,0.2667
950000,4,-4.05385,-3377.22,4.18574,0.611312,0.287829
1000000,2,0.577736,-3380.21,0.15354,0.643731,0.2736
1050000,3,-1.52782,-3379.37,1.89648,0.628506,0.2554
1100000,4,-2.95433,-3380.71,3.60803,0.596169,0.27778
1150000,3,-2.83118,-3390.58,2.58595,0.619496,0.25892
1200000,4,-1.17119,-3391.51,1.92211,0.602009,0.268467
1250000,2,-0.576435,-3383.06,1.28967,0.643703,0.268983
1300000,3,-7.17319,-3384.4,6.42718,0.602246,0.2668
1350000,2,-0.246894,-3382.5,0.78519,0.598464,0.27785
1400000,2,-0.312045,-3382.8,0.990491,0.608554,0.2679
1450000,2,-2.26634,-3381.24,2.99637,0.617736,0.26852
1500000,2,-1.05183,-3382.36,1.9096,0.615446,0.268167
1550000,2,-0.213108,-3386.71,1.09189,0.587895,0.271233
1600000,2,-1.49496,-3386.86,2.17011,0.61828,0.2625
1650000,4,-3.17056,-3382.94,2.38482,0.58476,0.264447
1700000,2,-4.28261,-3383.18,5.17431,0.580734,0.2625
1750000,3,-0.0689927,-3377.13,1.29052,0.60672,0.27835
1800000,3,0.496895,-3375.62,0.865974,0.620596,0.2699
1850000,3,-1.61056,-3377.95,1.69131,0.605014,0.2601
1900000,3,-1.58512,-3381.89,2.36659,0.605445,0.2504
1950000,3,-3.42868,-3384.93,0.776071,0.644565,0.276733
2000000,2,-0.670204,-3380.63,1.43454,0.613093,0.2699
2050000,3,-0.90847,-3376.82,1.34484,0.637086,0.274533
2100000,2,-0.408517,-3383.86,1.08685,0.639078,0.2699
2150000,2,-0.147239,-3383.71,0.739144,0.601058,0.272457
2200000,3,-3.34365,-3380.6,2.91826,0.620769,0.2793
2250000,2,-1.18502,-3381.45,1.99679,0.589979,0.265733
2300000,2,-0.382712,-3386.17,1.06014,0.627356,0.272141
2350000,3,-0.896881,-3377.74,2.16534,0.621242,0.2648
2400000,1,-0.125498,-3397.41,0.463513,0.64844,0.2659
2450000,2,-0.624034,-3384.26,1.479,0.620866,0.2655
2500000,3,-0.646453,-3383.41,1.73348,0.59055,0.260267
2550000,2,-2.37979,-3388.87,2.68294,0.623657,0.26235
2600000,4,-10.2106,-3383.66,9.56097,0.634161,0.281062
2650000,3,-0.940395,-3380.06,2.15987,0.64655,0.2545
2700000,2,0.00349421,-3391.98,0.757741,0.637282,0.27175
2750000,2,-0.943807,-3386.41,1.70028,0.595992,0.278
2800000,4,0.239982,-3375.78,1.58537,0.6396,0.2604
2850000,2,0.0307361,-3379.96,0.777669,0.624453,0.266356
2900000,2,-3.08224,-3381.67,3.82076,0.613397,0.2622
2950000,2,-0.321555,-3380.59,1.04629,0.602816,0.2652
3000000,3,-1.8979,-3382.58,2.74314,0.614459,0.269587
