"Character" "Weight"
"Bianucci_etal_2013a" 144 11.32
"Bianucci_etal_2013a" 145 10.43
"Bianucci_etal_2013a" 146 10.74
"Bianucci_etal_2013a" 147 10.74
"Bianucci_etal_2013a" 148 10.74
"Bianucci_etal_2013a" 149 10.43
"Bianucci_etal_2013a" 150 10.43
"Bianucci_etal_2013a" 151 16.24
"Bianucci_etal_2013a" 152 10.45
"Bianucci_etal_2013a" 153 10.43
"Bianucci_etal_2013a" 154 24.57
"Bianucci_etal_2013a" 155 10.42
"Bianucci_etal_2013a" 156 10.43
"Bianucci_etal_2013a" 157 10.48
"Bianucci_etal_2013a" 158 10.74
"Bianucci_etal_2013a" 159 10.47
"Bianucci_etal_2013a" 160 16.24
"Bianucci_etal_2013a" 161 10.42
"Bianucci_etal_2013a" 162 10.74
"Bianucci_etal_2013a" 163 10.42
"Bianucci_etal_2013a" 164 10.42
"Bianucci_etal_2013a" 165 10.46
"Bianucci_etal_2013a" 166 10.6
"Bianucci_etal_2013a" 167 10.42
"Bianucci_etal_2013a" 168 10.74
"Bianucci_etal_2013a" 169 10.74
"Bianucci_etal_2013a" 170 10.47
"Bianucci_etal_2013a" 171 10.47
"Bianucci_etal_2013a" 172 10.43
"Bianucci_etal_2013a" 173 10.42
"Bianucci_etal_2013a" 174 10.42
"Bianucci_etal_2013a" 175 24.57
"Bianucci_etal_2013a" 176 10.47
"Bianucci_etal_2013a" 177 10.48
"Bianucci_etal_2013a" 178 10.42
"Bianucci_etal_2013a" 179 10.42
"Bianucci_etal_2013a" 180 16.24
"Bianucci_etal_2013a" 181 10.49
"Bianucci_etal_2013a" 182 10.46
"Bianucci_etal_2013a" 183 10.46
"Bianucci_etal_2013a" 184 16.24
"Bianucci_etal_2013a" 185 10.42
"Bianucci_etal_2013a" 186 10.46
"Bianucci_etal_2013a" 187 10.46
"Bianucci_etal_2013a" 188 10.46
"Bianucci_etal_2013a" 189 10.46
"Bianucci_etal_2013a" 190 10.46
"Bianucci_etal_2013a" 191 10.42
"Bianucci_etal_2013a" 192 10.46
"Bianucci_etal_2013a" 193 10.42
"Bianucci_etal_2013a" 194 10.42
"Bianucci_etal_2013a" 195 16.24
"Bianucci_etal_2013a" 196 10.47
"Bianucci_etal_2013a" 197 10.42
"Bianucci_etal_2013a" 198 10.74
"Bianucci_etal_2013a" 199 10.47
"Bianucci_etal_2013a" 200 10.46
"Bianucci_etal_2013a" 201 10.42
"Bianucci_etal_2013a" 202 10.42
"Bianucci_etal_2013a" 203 10.42
"Bianucci_etal_2013a" 204 10.42
"Bianucci_etal_2013a" 205 10.42
"Bianucci_etal_2013a" 206 10.49
"Bianucci_etal_2013a" 207 10.42
"Bianucci_etal_2013a" 208 10.42
"Bianucci_etal_2013a" 209 10.42
"Bianucci_etal_2013a" 210 10.42
"Bianucci_etal_2013a" 211 10.42
"Bianucci_etal_2013a" 212 10.46
"Bianucci_etal_2013a" 213 10.43
"Bianucci_etal_2013a" 214 10.42
"Bianucci_etal_2013a" 215 10.46
"Bianucci_etal_2013a" 216 10.42
"Bianucci_etal_2013a" 217 10.42
"Bianucci_etal_2013a" 218 10.42
"Bianucci_etal_2013a" 219 10.42
"Bianucci_etal_2013a" 220 10.42
"Bianucci_etal_2013a" 221 10.47
"Bianucci_etal_2013a" 222 10.42
"Bianucci_etal_2013a" 223 10.42
"Bianucci_etal_2013a" 224 10.42
"Bianucci_etal_2013a" 225 10.46
"Bianucci_etal_2013a" 226 10.42
"Bianucci_etal_2013a" 227 10.47
"Bianucci_etal_2013a" 228 10.46
"Bianucci_etal_2013a" 229 10.46
"Bianucci_etal_2013a" 230 10.42
"Bianucci_etal_2013a" 231 10.42
"Bianucci_etal_2013a" 232 10.42
"Bianucci_etal_2013a" 233 10.42
"Bianucci_etal_2013a" 234 10.42
"Bianucci_etal_2013a" 235 10.42
"Bianucci_etal_2013a" 236 10.46
"Bianucci_etal_2013a" 237 10.46
"Bianucci_etal_2013a" 238 10.46
"Bianucci_etal_2013a" 239 10.46
"Bianucci_etal_2013a" 240 10.46
"Bianucci_etal_2013a" 241 10.42
"Bianucci_etal_2013a" 242 10.42
"Bianucci_etal_2013a" 243 10.46
"Bianucci_etal_2013a" 244 10.47
"Bianucci_etal_2013a" 245 10.46
"Bianucci_etal_2013a" 246 10.42
"Bianucci_etal_2018aa" 247 133.74
"Bianucci_etal_2018aa" 248 133.74
"Bianucci_etal_2018aa" 249 133.74
"Bianucci_etal_2018aa" 250 133.74
"Bianucci_etal_2018aa" 251 71.87
"Bianucci_etal_2018aa" 252 133.74
"Bianucci_etal_2018aa" 253 133.74
"Bianucci_etal_2018aa" 254 133.74
"Bianucci_etal_2018aa" 255 133.74
"Bianucci_etal_2018aa" 256 71.87
"Bianucci_etal_2018aa" 257 133.74
"Bianucci_etal_2018aa" 258 133.74
"Bianucci_etal_2018aa" 259 71.87
"Bianucci_etal_2018aa" 260 133.74
"Bianucci_etal_2018aa" 261 133.74
"Bianucci_etal_2018aa" 262 133.74
"Bianucci_etal_2018aa" 263 133.74
"Bianucci_etal_2018aa" 264 133.74
"Bianucci_etal_2018aa" 265 133.74
"Bianucci_etal_2018aa" 266 133.74
"Bianucci_etal_2018aa" 267 71.87
"Bianucci_etal_2018aa" 268 133.74
"Bianucci_etal_2018aa" 269 71.87
"Bianucci_etal_2018aa" 270 71.87
"Bianucci_etal_2018ab" 271 133.74
"Bianucci_etal_2018ab" 272 133.74
"Bianucci_etal_2018ab" 273 133.74
"Bianucci_etal_2018ab" 274 71.87
"Bianucci_etal_2018ab" 275 133.74
"Bianucci_etal_2018ab" 276 133.74
"Bianucci_etal_2018ab" 277 133.74
"Bianucci_etal_2018ab" 278 133.74
"Bianucci_etal_2018ab" 279 133.74
"Bianucci_etal_2018ab" 280 133.74
"Bianucci_etal_2018ab" 281 133.74
"Bianucci_etal_2018ab" 282 133.74
"Bianucci_etal_2018ab" 283 21.25
"Bianucci_etal_2018ab" 284 20.31
"Bianucci_etal_2018ab" 285 21.25
"Bianucci_etal_2018ab" 286 20.31
"Bianucci_etal_2018ab" 287 19.52
"Bianucci_etal_2018ab" 288 133.74
"Bianucci_etal_2018ab" 289 133.74
"Bianucci_etal_2018ab" 290 133.74
"Bianucci_etal_2018ab" 291 133.74
"Bianucci_etal_2018ab" 292 133.74
"Bianucci_etal_2018ab" 293 133.74
"Bianucci_etal_2018ab" 294 133.74
"Bianucci_etal_2018ab" 295 133.74
"Bianucci_etal_2018ab" 296 133.74
"Bianucci_etal_2018ab" 297 133.74
"Bianucci_etal_2018ab" 298 133.74
"Bianucci_etal_2018ab" 299 133.74
"Bianucci_etal_2018ab" 300 133.74
"Bianucci_etal_2018ab" 301 133.74
"Bianucci_etal_2018ab" 302 133.74
"Bianucci_etal_2018ab" 303 133.74
"Bianucci_etal_2018ab" 304 133.74
"Bianucci_etal_2018ab" 305 133.74
"Bianucci_etal_2018ab" 306 133.74
"Bianucci_etal_2018ab" 307 51.25
"Bianucci_etal_2018ab" 308 133.74
"Bianucci_etal_2018ab" 309 133.74
"Bianucci_etal_2018ab" 310 133.74
"Bianucci_etal_2018ab" 311 40.93
"Bianucci_etal_2018ab" 312 51.25
"Bianucci_etal_2018ab" 313 133.74
"Bianucci_etal_2018ab" 314 133.74
"Bianucci_etal_2018ab" 315 133.74
"Bianucci_etal_2018ab" 316 133.74
"Bianucci_etal_2018ab" 317 133.74
"Bianucci_etal_2018ab" 318 133.74
"Bianucci_etal_2018ab" 319 133.74
"Bianucci_etal_2018ab" 320 71.87
"Bianucci_etal_2018ab" 321 133.74
"Bianucci_etal_2018ab" 322 71.87
"Bianucci_etal_2018ab" 323 133.74
"Bianucci_etal_2018ab" 324 15.38
"Bianucci_etal_2018ab" 325 16.87
"Bianucci_etal_2018ab" 326 12.69
"Bianucci_etal_2018ab" 327 12.63
"Bianucci_etal_2018ab" 328 16.51
"Bianucci_etal_2018ab" 329 133.74
"Bianucci_etal_2018ab" 330 14.58
"Bianucci_etal_2018ab" 331 13.09
"Bianucci_etal_2018ab" 332 13.09
"Bianucci_etal_2018ab" 333 13.09
"Bianucci_etal_2018ab" 334 13.09
"Bianucci_etal_2018ab" 335 13.09
"Bianucci_etal_2018ab" 336 133.74
"Bianucci_etal_2018ab" 337 133.74
"Bianucci_etal_2018ab" 338 20.31
"Bianucci_etal_2018ab" 339 51.25
"Bianucci_etal_2018ab" 340 133.74
"Bianucci_etal_2018ab" 341 20.31
"Bianucci_etal_2018ab" 342 17.73
"Bianucci_etal_2018ab" 343 133.74
"Bianucci_etal_2018ab" 344 133.74
"Bianucci_etal_2018ab" 345 133.74
"Bianucci_etal_2018ab" 346 133.74
"Bianucci_etal_2018ab" 347 21.25
"Bianucci_etal_2018ab" 348 27.68
"Bianucci_etal_2018ab" 349 25.47
"Bianucci_etal_2018ab" 350 27.68
"Bianucci_etal_2018ab" 351 133.74
"Bianucci_etal_2018ab" 352 133.74
"Bianucci_etal_2018ab" 353 133.74
"Bianucci_etal_2018ab" 354 133.74
"Bianucci_etal_2018ab" 355 15.38
"Bianucci_etal_2018ab" 356 15.38
"Bianucci_etal_2018ab" 357 13.02
"Bianucci_etal_2018ab" 358 13.02
"Bianucci_etal_2018ab" 359 12.58
"Bianucci_etal_2018ab" 360 13.17
"Bianucci_etal_2018ab" 361 13.17
"Bianucci_etal_2018ab" 362 13.26
"Bianucci_etal_2018ab" 363 13.17
"Bianucci_etal_2018ab" 364 12.58
"Bianucci_etal_2018ab" 365 20.31
"Bianucci_etal_2018ab" 366 17.73
"Bianucci_etal_2018ab" 367 23.75
"Bianucci_etal_2018ab" 368 17.73
"Bianucci_etal_2018ab" 369 51.25
"Bianucci_etal_2018ab" 370 12.58
"Bianucci_etal_2018ab" 371 12.58
"Bianucci_etal_2018ab" 372 13.09
"Bianucci_etal_2018ab" 373 23.75
"Bianucci_etal_2018ab" 374 71.87
"Bianucci_etal_2018ab" 375 21.25
"Bianucci_etal_2018ab" 376 51.25
"Bianucci_etal_2018ab" 377 40.93
"Bianucci_etal_2018ab" 378 12.47
"Bianucci_etal_2018ab" 379 13.26
"Bianucci_etal_2018ab" 380 13.26
"Bianucci_etal_2018ab" 381 13.02
"Bianucci_etal_2018ab" 382 13.02
"Bianucci_etal_2018ab" 383 13.02
"Bianucci_etal_2018ab" 384 13.09
"Bianucci_etal_2018ab" 385 51.25
"Bianucci_etal_2018ab" 386 20.31
"Bianucci_etal_2018ab" 387 20.31
"Bianucci_etal_2018ab" 388 51.25
"Bianucci_etal_2018ab" 389 71.87
"Bianucci_etal_2018ab" 390 13.02
"Bianucci_etal_2018ab" 391 13.02
"Bianucci_etal_2018ab" 392 12.58
"Bianucci_etal_2018ab" 393 13.26
"Bianucci_etal_2018ab" 394 23.75
"Bianucci_etal_2018ab" 395 51.25
"Bianucci_etal_2018ab" 396 17.73
"Bianucci_etal_2018ab" 397 15.38
"Bianucci_etal_2018ab" 398 12.69
"Bianucci_etal_2018ab" 399 13.02
"Bianucci_etal_2018ab" 400 13.54
"Bianucci_etal_2018ab" 401 13.54
"Bianucci_etal_2018ab" 402 25.47
"Bianucci_etal_2018ab" 403 23.75
"Bianucci_etal_2018ab" 404 23.75
"Bianucci_etal_2018ab" 405 15.38
"Bianucci_etal_2018ab" 406 15.38
"Bianucci_etal_2018ab" 407 12.69
"Bianucci_etal_2018ab" 408 13.64
"Bianucci_etal_2018ab" 409 13.26
"Bianucci_etal_2018ab" 410 13.17
"Bianucci_etal_2018ab" 411 71.87
"Bianucci_etal_2018ab" 412 21.25
"Bianucci_etal_2018ab" 413 21.25
"Bianucci_etal_2018ab" 414 30.62
"Bianucci_etal_2018ab" 415 34.75
"Bianucci_etal_2018ab" 416 17.28
"Bianucci_etal_2018ab" 417 19.52
"Bianucci_etal_2018ab" 418 16.87
"Bianucci_etal_2018ab" 419 13.02
"Bianucci_etal_2018ab" 420 13.02
"Bianucci_etal_2019a" 421 710.01
"Bianucci_etal_2019a" 422 360.01
"Bianucci_etal_2019a" 423 360.01
"Bianucci_etal_2019a" 424 710.01
"Bianucci_etal_2019a" 425 710.01
"Bianucci_etal_2019a" 426 710.01
"Bianucci_etal_2019a" 427 710.01
"Bianucci_etal_2019a" 428 710.01
"Bianucci_etal_2019a" 429 710.01
"Bianucci_etal_2020a" 430 505
"Bianucci_etal_2020a" 431 175
"Bianucci_etal_2020a" 432 175
"Bianucci_etal_2020a" 433 175
"Bianucci_etal_2020a" 434 505
"Bianucci_etal_2020a" 435 505
"Bianucci_etal_2020a" 436 505
"Bianucci_etal_2020a" 437 505
"Bianucci_etal_2020a" 438 505
"Bianucci_etal_2020a" 439 505
"Bianucci_etal_2020a" 440 505
"Bianucci_etal_2020a" 441 505
"Bianucci_etal_2020a" 442 505
"Bianucci_etal_2020a" 443 505
"Bianucci_etal_2020a" 444 92.5
"Bianucci_etal_2020a" 445 133.75
"Bianucci_etal_2020a" 446 109
"Bianucci_etal_2020a" 447 109
"Bianucci_etal_2020a" 448 133.75
"Bianucci_etal_2020a" 449 92.5
"Bianucci_etal_2020a" 450 505
"Bianucci_etal_2020a" 451 505
"Bianucci_etal_2020a" 452 505
"Bianucci_etal_2020a" 453 505
"Bianucci_etal_2020a" 454 505
