generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
4250000,2,-0.250448,-3835.77,1.16798,0.646093,0.2277
4300000,2,0.171366,-3833.78,0.619579,0.605157,0.242575
4350000,2,-0.271888,-3833.61,1.15907,0.598431,0.2279
4400000,2,-2.74138,-3843.58,3.47051,0.599554,0.234187
4450000,4,-0.0337556,-3831.48,1.63141,0.593295,0.2373
4500000,2,0.0285304,-3834.64,0.739428,0.597747,0.220055
4550000,2,-0.614918,-3832.21,1.54417,0.630627,0.2427
4600000,3,0.194867,-3836.25,0.8785,0.597878,0.24705
4650000,3,-2.93161,-3834.66,4.17884,0.582785,0.2475
4700000,2,-1.71922,-3835.15,2.59932,0.614777,0.22235
4750000,3,-1.75299,-3837.38,3.12763,0.600278,0.2453
4800000,2,0.605784,-3833.52,0.385215,0.617597,0.2498
4850000,2,0.378524,-3832.45,0.514606,0.611811,0.2385
4900000,2,-0.245168,-3837.61,1.26432,0.636937,0.25115
4950000,2,-1.0556,-3833.23,1.88344,0.617767,0.2522
5000000,2,0.0552772,-3832.68,0.873194,0.634546,0.2371
5050000,2,-0.474802,-3833.33,1.3672,0.587123,0.2295
5100000,3,0.126053,-3831.33,1.13083,0.623768,0.2421
5150000,2,-1.28626,-3834.28,2.18181,0.58847,0.2338
5200000,1,-5.0233,-3847.71,5.38789,0.566805,0.220337
5250000,2,-0.338691,-3836.48,1.16801,0.591381,0.218583
5300000,2,0.1904,-3835.89,0.715225,0.581485,0.247483
5350000,2,-0.385233,-3834.45,1.2755,0.619093,0.24535
5400000,2,-0.161908,-3833.26,1.10836,0.643082,0.24805
5450000,2,-0.604034,-3832.83,1.48972,0.624301,0.224
5500000,2,0.187021,-3832.8,0.764911,0.618961,0.236371
5550000,2,-0.506705,-3835.77,1.40211,0.638554,0.2419
5600000,3,-1.15008,-3835.48,2.36601,0.603248,0.241533
5650000,2,-2.70486,-3831.53,3.62562,0.592221,0.253694
5700000,3,-0.784626,-3839.21,1.21048,0.6214,0.2394
5750000,4,-1.00057,-3830.02,2.04904,0.617332,0.244
5800000,2,-0.491452,-3836.87,1.29479,0.639488,0.239767
5850000,2,-0.0522396,-3832.59,0.962999,0.6095,0.24035
5900000,2,-0.272001,-3831.29,1.20179,0.610092,0.2464
5950000,2,-0.599187,-3832.81,1.47823,0.610118,0.24685
