generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Delphinus_capensis,Balaenoptera_brydei,0,0.00347302,0,0.9,0
50000,Delphinus_capensis,Balaenoptera_brydei,0,0.241097,0,0.21787,0
50000,Mesoplodon_grayi,Ninoziphius_platyrostris,11.2146,0.11552,0,0.0859672,0
50000,Delphinus_capensis,Orcinus_orca,23.7715,0.161245,0,0.0190772,0
100000,Delphinus_capensis,Balaenoptera_brydei,0,0.233071,0,0.185157,0
100000,Mesoplodon_grayi,Ninoziphius_platyrostris,10.9403,0.120306,0,0.0859457,0
100000,Delphinus_capensis,Orcinus_orca,23.797,0.164559,0,0.0552763,0
150000,Delphinus_capensis,Balaenoptera_brydei,0,0.241935,0,0.218893,0
150000,Mesoplodon_grayi,Ninoziphius_platyrostris,11.0931,0.118964,0,0.081907,0
150000,Delphinus_capensis,Orcinus_orca,24.2452,0.162072,0,0.030981,0
200000,Delphinus_capensis,Balaenoptera_brydei,0,0.230258,0,0.222387,0
200000,Eubalaena_australis,Eubalaena_shinshuensis,24.8822,0.16812,0,0.086084,0
200000,Mesoplodon_grayi,Ninoziphius_platyrostris,11.2785,0.118074,0,0.0888126,0
200000,Delphinus_capensis,Orcinus_orca,24.0102,0.172855,0,0.0498301,0
250000,Delphinus_capensis,Balaenoptera_brydei,0,0.221867,0,0.181159,0
250000,Mesoplodon_grayi,Ziphiidae_indet_KNM_LP52956,21.8935,0.250755,0,0.125322,0
250000,Mesoplodon_grayi,Ninoziphius_platyrostris,11.2197,0.115418,0,0.0752442,0
250000,Delphinus_capensis,Orcinus_orca,23.7617,0.180239,0,0.0420418,0
300000,Delphinus_capensis,Balaenoptera_brydei,0,0.231598,0,0.234115,0
300000,Delphinus_capensis,Mesoplodon_grayi,10.8941,0.16426,0,0.0954278,0
350000,Delphinus_capensis,Balaenoptera_brydei,0,0.222671,0,0.221521,0
350000,Mesoplodon_grayi,Ninoziphius_platyrostris,10.9789,0.133674,0,0.0812606,0
350000,Delphinus_capensis,Orcinus_orca,23.4399,0.162192,0,0.0501426,0
400000,Delphinus_capensis,Balaenoptera_brydei,0,0.21534,0,0.205482,0
400000,Mesoplodon_grayi,Ninoziphius_platyrostris,10.9504,0.120293,0,0.0735615,0
400000,Delphinus_capensis,Orcinus_orca,23.5055,0.184026,0,0.035824,0
450000,Delphinus_capensis,Balaenoptera_brydei,0,0.232691,0,0.212815,0
450000,Mesoplodon_grayi,Ninoziphius_platyrostris,11.1414,0.106547,0,0.0635873,0
450000,Delphinus_capensis,Orcinus_orca,23.7973,0.241912,0,0.0554338,0
500000,Delphinus_capensis,Balaenoptera_brydei,0,0.250705,0,0.210779,0
500000,Mesoplodon_grayi,Ninoziphius_platyrostris,11.1042,0.121082,0,0.0822247,0
500000,Delphinus_capensis,Orcinus_orca,23.5223,0.178045,0,0.032023,0
550000,Delphinus_capensis,Balaenoptera_brydei,0,0.236523,0,0.219306,0
550000,Mesoplodon_grayi,Indopacetus_pacificus,24.9861,0.111743,0,0.074133,0
