generation,rank_1,rank_2,swapAccepted
354000,1,2,1
355000,1,3,0
356000,1,3,0
357000,1,4,0
358000,1,3,0
359000,2,4,0
360000,3,4,1
361000,2,3,0
362000,2,3,0
363000,1,2,1
364000,2,4,0
365000,3,4,1
366000,1,3,0
367000,1,3,0
368000,1,3,0
369000,2,4,0
370000,3,4,1
371000,1,4,0
372000,1,2,1
373000,1,3,1
374000,3,4,0
375000,1,3,1
376000,1,4,0
377000,1,4,0
378000,1,2,1
379000,2,3,1
380000,3,4,0
381000,1,3,1
382000,2,4,0
383000,1,4,0
384000,2,4,0
385000,1,2,0
386000,2,3,1
387000,2,3,0
388000,3,4,0
389000,1,3,0
390000,2,4,0
391000,1,3,0
392000,1,4,0
393000,2,4,0
394000,3,4,1
395000,3,4,1
396000,1,4,0
397000,1,2,1
398000,1,3,0
399000,2,3,0
400000,2,4,0
401000,1,4,0
402000,2,4,0
403000,1,3,1
404000,2,4,0
405000,1,3,1
406000,1,4,0
407000,1,4,0
408000,2,3,1
409000,2,4,0
410000,1,4,0
411000,3,4,0
412000,2,4,0
413000,3,4,0
414000,1,4,0
415000,1,2,1
416000,2,4,0
417000,1,2,1
418000,2,4,0
419000,1,4,0
420000,1,3,0
421000,1,2,1
422000,1,3,0
423000,3,4,0
424000,1,2,1
425000,2,4,0
426000,1,3,1
427000,1,3,1
428000,2,3,1
429000,1,4,0
430000,2,3,1
431000,1,2,0
432000,1,4,0
433000,1,2,1
434000,2,3,1
435000,2,3,1
436000,2,4,0
437000,3,4,0
438000,1,2,1
439000,2,4,0
440000,2,3,1
441000,2,3,1
442000,1,2,0
443000,2,4,0
444000,3,4,1
445000,1,3,0
446000,2,3,0
447000,2,3,1
448000,1,4,1
449000,1,4,0
450000,2,3,1
451000,1,3,1
452000,1,3,1
453000,1,4,0
454000,1,4,0
455000,2,3,1
456000,1,3,1
457000,2,4,0
458000,1,2,0
459000,2,4,1
460000,2,3,1
461000,2,4,0
462000,1,2,1
463000,2,4,0
464000,1,2,1
465000,1,2,1
466000,2,3,0
467000,2,3,0
468000,3,4,1
469000,2,3,0
470000,2,4,0
471000,1,4,0
472000,2,3,1
473000,2,3,1
474000,1,2,1
475000,1,2,1
476000,2,3,0
